review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,room_type
4.83,4.87,4.84,4.86,4.92,4.88,4.8,151,Entire home/apt
4.68,4.75,4.81,4.83,4.79,4.92,4.65,215,Entire home/apt
4.92,4.93,4.96,4.96,4.97,4.79,4.89,150,Entire home/apt
4.76,4.84,4.68,4.9,4.68,4.77,4.71,150,Entire home/apt
4.69,4.84,4.93,4.85,4.72,4.6,4.73,135,Entire home/apt
4.57,4.86,4.57,4.86,5.0,4.86,4.29,350,Entire home/apt
4.0,4.0,3.0,4.0,4.33,5.0,3.67,100,Entire home/apt
4.6,4.75,4.5,4.85,4.85,4.88,4.66,94,Entire home/apt
4.54,4.5,3.98,4.75,4.73,4.69,4.49,51,Private room
4.98,4.97,4.98,5.0,5.0,4.92,4.95,130,Private room
4.56,4.56,4.46,4.67,4.66,4.88,4.5,95,Private room
4.7,4.8,4.74,4.74,5.0,4.96,4.48,143,Entire home/apt
4.0,4.0,3.5,4.5,5.0,5.0,4.5,220,Entire home/apt
4.8,4.83,4.92,4.85,4.88,4.52,4.77,99,Entire home/apt
4.72,4.71,4.87,4.9,4.79,4.49,4.78,73,Private room
4.74,4.74,4.87,4.87,4.78,4.43,4.72,100,Entire home/apt
5.0,4.94,5.0,4.94,4.88,4.94,4.5,300,Entire home/apt
4.76,4.86,4.74,4.88,4.88,4.76,4.67,169,Entire home/apt
4.27,4.47,4.44,4.51,4.4,4.17,4.19,127,Entire home/apt
4.98,4.95,4.99,4.97,4.97,4.93,4.92,175,Entire home/apt
4.75,4.76,4.83,4.9,4.91,4.88,4.75,125,Entire home/apt
4.79,4.9,4.81,4.75,4.88,4.81,4.59,174,Entire home/apt
4.67,4.67,4.0,5.0,5.0,4.67,4.67,110,Entire home/apt
4.89,4.89,5.0,5.0,5.0,5.0,5.0,1950,Entire home/apt
4.94,4.84,4.92,5.0,4.92,4.95,4.92,240,Entire home/apt
4.94,4.81,4.94,5.0,4.94,4.82,4.94,654,Entire home/apt
4.75,4.95,4.6,5.0,5.0,4.95,4.75,139,Entire home/apt
4.82,4.85,4.82,4.94,4.93,4.83,4.85,165,Entire home/apt
4.88,4.91,4.81,4.87,4.94,4.98,4.81,189,Entire home/apt
4.67,4.72,4.66,4.86,4.73,4.82,4.75,125,Private room
4.6,4.73,4.78,4.71,4.73,4.68,4.63,80,Private room
4.86,4.85,4.78,4.98,4.93,4.89,4.8,126,Entire home/apt
4.86,5.0,5.0,4.71,4.86,5.0,4.86,400,Entire home/apt
4.88,4.89,4.82,4.93,4.96,4.91,4.82,131,Entire home/apt
4.38,4.77,4.08,5.0,4.85,4.77,4.62,250,Entire home/apt
5.0,5.0,4.0,5.0,5.0,5.0,5.0,100,Entire home/apt
4.92,4.88,4.86,4.99,5.0,4.86,4.76,264,Entire home/apt
5.0,4.96,4.92,4.96,4.92,5.0,4.67,213,Entire home/apt
4.0,3.33,3.33,4.5,3.5,3.83,3.5,100,Entire home/apt
4.89,4.89,4.8,4.9,4.95,4.95,4.76,200,Entire home/apt
4.76,4.86,4.83,4.93,4.92,4.94,4.76,168,Entire home/apt
4.86,4.61,4.91,4.93,4.86,5.0,4.59,256,Private room
4.69,4.81,4.53,4.89,4.91,4.82,4.65,48,Private room
4.74,4.82,4.93,4.92,4.79,4.53,4.75,75,Private room
4.82,4.88,4.69,4.88,4.96,4.57,4.67,289,Entire home/apt
4.88,4.87,4.81,4.93,4.94,4.92,4.79,198,Entire home/apt
4.67,4.66,4.64,4.84,4.8,4.45,4.53,157,Private room
4.42,4.22,4.41,4.63,4.56,4.34,4.34,157,Private room
4.88,5.0,4.88,4.75,4.88,4.88,5.0,200,Entire home/apt
4.85,4.91,4.87,4.82,4.93,4.78,4.74,371,Entire home/apt
4.92,4.95,4.84,4.91,4.92,4.97,4.8,113,Entire home/apt
4.71,4.79,4.71,4.79,4.85,4.76,4.64,375,Entire home/apt
5.0,4.5,4.75,5.0,5.0,4.25,4.5,260,Entire home/apt
4.92,4.87,4.96,4.96,4.9,4.93,4.59,420,Entire home/apt
4.89,4.93,4.95,4.97,4.95,4.71,4.88,90,Entire home/apt
4.97,4.93,4.98,4.9,4.98,4.95,4.82,1047,Entire home/apt
4.76,4.74,4.7,4.91,4.91,4.98,4.7,290,Entire home/apt
4.88,4.91,4.86,4.94,4.92,4.76,4.88,110,Entire home/apt
4.73,4.78,4.49,4.96,4.95,4.9,4.68,150,Entire home/apt
4.73,4.77,4.86,5.0,5.0,4.68,4.59,52,Entire home/apt
4.33,4.56,4.44,4.63,4.81,4.63,4.04,101,Private room
4.8,4.83,4.65,4.89,4.85,4.86,4.81,145,Entire home/apt
4.77,4.88,4.85,4.79,4.9,4.88,4.72,135,Entire home/apt
4.92,5.0,5.0,5.0,5.0,5.0,4.92,155,Entire home/apt
4.63,4.74,4.51,4.7,4.8,4.98,4.54,257,Entire home/apt
4.86,4.79,4.76,4.93,4.84,4.92,4.86,125,Entire home/apt
4.78,4.9,4.64,4.9,4.89,4.85,4.89,72,Entire home/apt
5.0,4.89,4.78,5.0,5.0,5.0,4.56,240,Entire home/apt
4.73,4.64,4.73,4.82,4.45,4.82,4.45,385,Entire home/apt
4.78,4.77,4.77,4.92,4.92,4.88,4.7,74,Entire home/apt
4.87,4.86,4.83,4.95,4.95,4.94,4.77,107,Private room
5.0,5.0,5.0,5.0,5.0,5.0,5.0,134,Entire home/apt
4.59,4.64,4.82,4.95,4.82,5.0,4.5,78,Entire home/apt
4.61,4.51,4.63,4.94,4.99,4.77,4.67,84,Entire home/apt
4.5,4.71,4.39,4.87,4.79,4.8,4.56,139,Private room
4.74,4.8,4.74,4.77,4.8,4.91,4.6,375,Entire home/apt
4.92,4.95,4.92,4.98,4.96,4.83,4.86,130,Entire home/apt
4.33,4.8,4.2,4.6,4.6,5.0,4.2,219,Entire home/apt
5.0,4.95,4.88,4.98,4.95,5.0,4.9,99,Private room
4.73,4.8,4.7,4.8,4.6,4.9,4.09,83,Entire home/apt
4.6,4.6,4.6,4.93,4.8,4.8,4.8,111,Entire home/apt
4.78,4.88,4.73,4.97,4.97,4.87,4.82,107,Entire home/apt
4.8,4.87,4.93,4.86,4.71,4.62,4.8,135,Entire home/apt
4.85,4.79,4.9,4.95,4.97,4.93,4.87,80,Entire home/apt
4.85,4.85,4.85,4.96,4.98,4.84,4.79,125,Private room
