"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,078,900","326.9","1.8 %","2.1 %","-2.2 %","-13.0 %","27.1 %","13.6 %","85.2 %"
"","Greater Vancouver","$ 1,143,900","323.1","1.8 %","2.6 %","-1.0 %","-9.5 %","22.4 %","8.9 %","76.4 %"
"","Bowen Island","$ 1,344,500","283.5","1.5 %","-6.5 %","-7.4 %","-13.8 %","47.8 %","31.1 %","143.6 %"
"","Burnaby East","$ 1,110,000","347.3","0.6 %","2.6 %","-0.3 %","-9.7 %","19.9 %","9.9 %","98.8 %"
"","Burnaby North","$ 978,400","325.2","1.6 %","1.4 %","-1.9 %","-7.7 %","20.5 %","9.2 %","92.4 %"
"","Burnaby South","$ 1,075,100","336.3","1.4 %","1.7 %","0.7 %","-8.5 %","19.2 %","11.6 %","91.5 %"
"","Coquitlam","$ 1,065,800","331.7","1.5 %","2.0 %","-2.0 %","-11.8 %","27.2 %","17.5 %","106.8 %"
"","Ladner","$ 1,072,100","310.8","0.2 %","1.2 %","-2.9 %","-12.8 %","33.4 %","23.0 %","97.8 %"
"","Maple Ridge","$ 925,900","319.5","0.8 %","1.2 %","-3.9 %","-19.7 %","36.1 %","29.5 %","139.0 %"
"","New Westminster","$ 810,900","364.8","1.4 %","3.8 %","0.3 %","-6.4 %","28.4 %","18.9 %","113.3 %"
"","North Vancouver","$ 1,340,300","308.8","3.0 %","3.3 %","1.5 %","-10.3 %","23.2 %","11.3 %","90.6 %"
"","Pitt Meadows","$ 846,500","331.1","2.5 %","-0.8 %","-5.6 %","-19.8 %","30.9 %","25.3 %","132.5 %"
"","Port Coquitlam","$ 915,700","352.6","1.6 %","3.1 %","0.5 %","-11.9 %","38.4 %","29.3 %","140.0 %"
"","Port Moody","$ 1,105,400","348.4","1.1 %","2.4 %","-3.1 %","-8.0 %","35.4 %","26.4 %","138.1 %"
"","Richmond","$ 1,156,600","378.1","2.2 %","5.8 %","2.3 %","-3.8 %","30.3 %","12.1 %","91.7 %"
"","Squamish","$ 1,056,800","347.4","3.7 %","6.7 %","-2.5 %","-10.4 %","32.5 %","34.5 %","155.4 %"
"","Sunshine Coast","$ 802,000","295.4","0.2 %","-2.7 %","-7.2 %","-12.3 %","44.9 %","36.4 %","149.5 %"
"","Tsawwassen","$ 1,136,700","296.2","2.2 %","-0.6 %","-6.6 %","-13.5 %","24.8 %","9.2 %","84.4 %"
"","Vancouver East","$ 1,135,500","353.0","1.7 %","2.1 %","-0.9 %","-9.7 %","18.2 %","7.7 %","87.5 %"
"","Vancouver West","$ 1,274,300","299.0","2.2 %","3.3 %","-0.5 %","-8.1 %","7.7 %","-7.3 %","45.1 %"
"","West Vancouver","$ 2,491,100","269.1","-1.3 %","-2.7 %","-7.8 %","-10.3 %","14.9 %","-6.6 %","48.9 %"
"","Whistler","$ 1,373,600","302.6","3.7 %","5.0 %","-2.8 %","-10.8 %","34.9 %","43.5 %","159.5 %"
"Single Family Detached","Lower Mainland","$ 1,649,000","361.1","2.4 %","1.7 %","-3.2 %","-15.4 %","29.9 %","19.8 %","97.0 %"
"","Greater Vancouver","$ 1,861,800","346.6","2.7 %","2.1 %","-2.3 %","-11.2 %","25.0 %","12.0 %","80.4 %"
"","Bowen Island","$ 1,344,700","283.4","1.5 %","-6.5 %","-7.4 %","-13.8 %","47.8 %","31.2 %","143.9 %"
"","Burnaby East","$ 1,727,900","367.5","-0.1 %","3.1 %","-3.2 %","-14.1 %","21.1 %","17.0 %","111.6 %"
"","Burnaby North","$ 1,878,200","358.8","2.0 %","-0.6 %","-4.1 %","-10.2 %","24.3 %","13.4 %","105.3 %"
