,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Ambleside,"1,527",b ,"1,896",a ,"2,962",a ,**,,"2,211",a 
Capital Hill/Brentwood,984,a ,"1,491",a ,"2,014",a ,"1,730",a ,"1,636",a 
Cedar Cottage,"1,509",a ,"1,487",b ,"2,233",b ,"3,195",a ,"1,835",b 
Central Lonsdale,"1,469",b ,"1,784",a ,"2,310",b ,"3,746",a ,"1,941",a 
Central Park,"1,528",a ,"1,462",a ,"1,855",a ,"2,242",b ,"1,585",a 
Cloverdale/Fleetwood,**,,"1,224",b ,"1,636",a ,**,,"1,391",b 
Collingwood,"1,378",a ,"1,417",a ,"1,888",a ,**,,"1,608",a 
Coquitlam East,**,,"1,582",a ,"1,794",a ,**,,"1,681",a 
Coquitlam West,"1,248",b ,"1,324",a ,"1,618",b ,**,,"1,430",a 
Deer Lake,**,,**,,**,,**,,**,
Downtown,"1,383",b ,"1,491",b ,"1,961",a ,"2,850",a ,"1,626",a 
Downtown Central,"1,515",a ,"1,752",a ,"2,675",a ,"3,964",c ,"1,809",a 
Downtown Eastside/Strathcona,"1,847",b ,"2,029",d ,**,,**,,"2,105",c 
Downtown North,"1,757",a ,"2,116",a ,"2,728",a ,**,,"2,202",a 
Dundrave/West Vancouver Remainder,"1,497",a ,"1,954",a ,"2,926",a ,"4,285",a ,"2,376",a 
Edmonds,"1,095",b ,"1,259",a ,"1,576",a ,**,,"1,332",a 
English Bay,"1,343",a ,"1,756",a ,"2,571",a ,**,,"1,782",a 
Fraser View/Killarny,"1,136",b ,"1,608",a ,"1,992",a ,"2,162",b ,"1,783",a 
Guildford,**,,"1,104",a ,"1,256",a ,"1,482",a ,"1,205",a 
Hastings/Sunrise/Grandview/Woodlands,"1,332",b ,"1,397",a ,"1,907",a ,"1,988",a ,"1,478",a 
Kerrisdale,"1,284",a ,"1,536",a ,"2,133",a ,"3,386",d ,"1,713",a 
Kitsilano/Point Grey North,"1,381",a ,"1,680",a ,"2,306",a ,**,,"1,771",a 
Kitsilano/Point Grey South,"1,325",b ,"1,668",a ,"2,294",a ,"3,479",b ,"1,846",b 
Ladner,905,a ,"1,073",a ,"1,468",b ,"2,774",a ,"1,292",b 
