"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,127,100","342.5","1.6 %","5.7 %","5.1 %","-7.8 %","33.4 %","20.3 %","92.2 %"
"","Greater Vancouver","$ 1,188,000","336.4","1.3 %","4.9 %","5.2 %","-5.6 %","27.7 %","15.2 %","81.7 %"
"","Bowen Island","$ 1,358,400","285.1","-5.0 %","1.5 %","-1.9 %","-18.9 %","41.9 %","34.6%","132.0 %"
"","Burnaby East","$ 1,159,600","360.8","2.9 %","4.3 %","4.0 %","-5.5 %","24.7 %","13.5 %","103.0 %"
"","Burnaby North","$ 1,018,000","339.0","1.5 %","5.1 %","4.0 %","-5.3 %","24.3 %","15.0 %","99.8 %"
"","Burnaby South","$ 1,112,300","351.0","0.9 %","4.8 %","5.5 %","-5.3 %","21.8 %","16.5 %","99.5 %"
"","Coquitlam","$ 1,114,900","348.6","1.2 %","4.2 %","3.9 %","-8.1 %","32.2 %","21.4 %","116.8 %"
"","Ladner","$ 1,144,800","332.5","2.6 %","8.4 %","7.2 %","-6.9 %","43.4 %","29.9 %","117.7 %"
"","Maple Ridge","$ 982,500","340.1","2.6 %","7.2 %","6.0 %","-11.5 %","43.1 %","36.4 %","152.1 %"
"","New Westminster","$ 827,600","375.2","1.9 %","3.7 %","4.7 %","-3.1 %","31.2 %","20.3 %","115.0 %"
"","North Vancouver","$ 1,397,500","321.1","1.8 %","4.8 %","5.5 %","-5.3 %","28.9 %","17.5 %","93.7 %"
"","Pitt Meadows","$ 906,300","362.1","3.9 %","9.0 %","5.4 %","-10.7 %","40.6 %","32.5 %","157.2 %"
"","Port Coquitlam","$ 951,800","366.1","2.2 %","5.1 %","6.6 %","-6.9 %","45.5 %","32.5 %","146.2 %"
"","Port Moody","$ 1,112,300","351.3","0.4 %","1.3 %","1.7 %","-9.2 %","33.8 %","25.0 %","137.8 %"
"","Richmond","$ 1,192,000","391.5","1.6 %","4.6 %","8.1 %","0.1 %","35.4 %","18.2 %","97.1 %"
"","Squamish","$ 1,089,900","355.9","1.0 %","5.8 %","5.0 %","-8.5 %","39.8 %","38.3 %","159.4 %"
"","Sunshine Coast","$ 809,000","296.7","-2.8 %","-0.6 %","-1.1 %","-16.0 %","42.8 %","39.1 %","141.2 %"
"","Tsawwassen","$ 1,221,900","317.5","0.3 %","11.6 %","5.6 %","-8.9 %","34.9 %","20.6 %","105.0 %"
"","Vancouver East","$ 1,193,800","371.3","2.0 %","6.8 %","6.0 %","-4.0 %","25.5 %","15.1 %","94.9 %"
"","Vancouver West","$ 1,319,900","310.3","0.5 %","3.9 %","5.5 %","-3.6 %","13.2 %","-0.2 %","48.6 %"
"","West Vancouver","$ 2,564,800","276.5","1.1 %","3.7 %","-1.1 %","-11.2 %","18.7 %","-0.5 %","50.4 %"
"","Whistler","$ 1,389,700","312.2","0.0 %","5.5 %","4.1 %","-9.3 %","44.9 %","50.5 %","169.8 %"
"Single Family Detached","Lower Mainland","$ 1,745,700","382.2","2.1 %","7.3 %","5.8 %","-9.0 %","36.8 %","28.0 %","106.4 %"
"","Greater Vancouver","$ 1,953,600","363.3","1.8 %","6.2 %","5.2 %","-6.7 %","30.4 %","19.5 %","87.0 %"
"","Bowen Island","$ 1,361,300","285.2","-4.9 %","1.4 %","-1.9 %","-18.9 %","42.0 %","34.5 %","132.1 %"
"","Burnaby East","$ 1,824,200","390.1","4.7 %","5.3 %","4.8 %","-6.1 %","30.0 %","23.1 %","121.8 %"
"","Burnaby North","$ 1,981,800","378.9","1.7 %","6.8 %","3.3 %","-6.2 %","26.6 %","21.7 %","112.9 %"
"","Burnaby South","$ 2,177,100","408.0","1.4 %","10.2 %","8.1 %","-5.3 %","28.3 %","23.9 %","112.2 %"
