"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change % |","1 Year
Change %","3 Year
Change % |","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,147,100","348.6","-0.4 %","1.8 %","7.6 %","1.7 %","32.8 %","26.7 %","94.3 %"
"","Greater Vancouver","$ 1,208,400","342.2","-0.2 %","1.7 %","6.7 %","2.5 %","27.6 %","21.0 %","83.3 %"
"","Bowen Island","$ 1,414,700","296.9","-2.6 %","1.1 %","5.7 %","-8.6 %","34.5 %","47 .","147.8 %"
"","Burnaby East","$ 1,195,100","371.8","-0.7 %","3.0 %","7.5 %","6.9 %","27.8 %","25.1 %","109.2 %"
"","Burnaby North","$ 1,019,500","339.5","-0.2 %","0.1 %","5.2 %","1.2 %","23.3 %","19.5 %","96.9 %"
"","Burnaby South","$ 1,138,000","359.1","0.3 %","2.3 %","7.2 %","4.5 %","26.9 %","22.2 %","101.3 %"
"","Coquitlam","$ 1,134,000","354.6","-0.1 %","1.7 %","6.0 %","1.3 %","33.5 %","27.6 %","118.5 %"
"","Ladner","$ 1,178,800","342.4","-0.2 %","3.0 %","11.6 %","3.3 %","44.4 %","37.5 %","122.0 %"
"","Maple Ridge","$ 1,005,700","348.1","0.1 %","2.4 %","9.7 %","1.5 %","45.0 %","43.5 %","156.1 %"
"","New Westminster","$ 846,800","383.9","0.1 %","2.3 %","6.1 %","4.5 %","32.4 %","29.1 %","118.6 %"
"","North Vancouver","$ 1,394,600","320.5","-1.1 %","-0.2 %","4.6 %","1.8 %","24.7 %","23.8 %","93.3 %"
"","Pitt Meadows","$ 927,300","370.5","-1.4 %","2.3 %","11.5 %","3.0 %","42.6 %","39.9 %","161.1 %"
"","Port Coquitlam","$ 971,400","373.6","-0.5 %","2.0 %","7.2 %","6.0 %","45.4 %","42.3 %","150.6 %"
"","Port Moody","$ 1,128,800","356.5","0.7 %","1.5 %","2.8 %","-3.9 %","36.6 %","30.3 %","138.9 %"
"","Richmond","$ 1,187,900","390.1","0.0 %","-0.4 %","4.2 %","4.3 %","33.0 %","20.6 %","96.0 %"
"","Squamish","$ 1,103,300","360.3","-1.7 %","1.2 %","7.1 %","-4.3 %","36.5 %","40.5 %","163.6 %"
"","Sunshine Coast","$ 841,400","308.5","-2.7 %","4.0 %","3.3 %","-5.4 %","38.1 %","46.6 %","151.4 %"
"","Tsawwassen","$ 1,216,300","316.0","-0.5 %","-0.5 %","11.1 %","-1.7 %","28.3 %","21.5 %","102.3 %"
"","Vancouver East","$ 1,238,400","385.2","0.8 %","3.7 %","10.8 %","5.8 %","27.0 %","23.9 %","101.7 %"
"","Vancouver West","$ 1,346,300","316.5","-0.3 %","2.0 %","6.0 %","3.8 %","14.5 %","4.4 %","49.2 %"
"","West Vancouver","$ 2,660,200","286.8","0.4 %","3.7 %","7.6 %","-3.7 %","15.6 %","5.6 %","52.9 %"
"","Whistler","$ 1,399,000","314.3","-1.9 %","0.7 %","6.2 %","-5.5 %","39.6 %","48.1 %","171.4 %"
"Single Family Detached","Lower Mainland","$ 1,802,100","394.6","0.0 %","3.2 %","10.7 %","2.8 %","37.3 %","35.8 %","111.7 %"
"","Greater Vancouver","$ 2,018,500","375.3","0.3 %","3.3 %","9.7 %","3.2 %","31.8 %","27.0 %","91.5 %"
"","Bowen Island","$ 1,417,700","297.0","-2.6 %","4.1 %","5.6 %","-8.6 %","34.4 %","47.5 %","147.9 %"
"","Burnaby East","$ 1,923,700","411.4","-1.1 %","5.5 %","11.0 %","12.7 %","36.4 %","39.0 %","133.4 %"
"","Burnaby North","$ 2,047,100","391.4","0.3 %","3.3 %","10.3 %","4.8 %","33.2 %","33.1 %","114.2 %"
"","Burnaby South","$ 2,250,400","421.7","0.6 %","3.4 %","13.8 %","7.6 %","35.2 %","33.0 %","118.0 %"
"","Coquitlam","$ 1,798,000","416.3","0.1 %","2.4 %","6.8 %","1.8 %","40.2 %","36.6 %","153.8 %"
"","Ladner","$ 1,446,000","350.0","-0.3 %","3.7 %","16.9 %","2.0 %","45.5 %","44.9 %","128.6 %"
"","Maple Ridge","$ 1,310,600","382.8","0.3 %","3.9 %","11.7 %","2.2 %","47.5 %","51.5 %","178.8 %"
"","New Westminster","$ 1,587,300","393.0","-0.8 %","4.0 %","10.0 %","9.0 %","37.6 %","40.5 %","130.5 %"
"","North Vancouver","$ 2,268,500","352.1","-0.8 %","0.0 %","7.1 %","2.7 %","27.8 %","32.1 %","117.1 %"
"","Pitt Meadows","$ 1,317,800","396.3","-2.8 %","3.4 %","15.0 %","6.3 %","43.3 %","45.8 %","166.9 %"
"","Port Coquitlam","$ 1,438,600","405.2","1.0 %","3.3 %","10.4 %","8.4 %","49.2 %","49.9 %","173.6 %"
"","Port Moody","$ 2,076,500","394.2","0.3 %","3.4 %","4.7 %","-2.8 %","43.6 %","33.0 %","155.8 %"
"","Richmond","$ 2,199,700","447.7","0.8 %","0.4 %","7.1 %","3.9 %","33.7 %","23.5 %","115.4 %"
"","Squamish","$ 1,595,500","390.4","-5.3 %","-3.1 %","6.2 %","-10.3 %","31.8 %","48.3 %","205.0 %"
"","Sunshine Coast","$ 894,200","312.4","-3.8 %","3.7 %","3.0 %","-6.4 %","38.7 %","50.9 %","155.4 %"
"","Tsawwassen","$ 1,547,800","342.1","-0.8 %","-0.4 %","15.9 %","-3.1 %","31.7 %","30.6 %","123.9 %"
"","Vancouver East","$ 1,913,500","425.6","0.9 %","5.0 %","13.0 %","6.3 %","29.4 %","30.2 %","124.1 %"
"","Vancouver West","$ 3,519,100","365.7","1.8 %","5.4 %","7.8 %","4.5 %","17.4 %","8.9 %","64.9 %"
"","West Vancouver","$ 3,273,900","303.1","1.0 %","5.2 %","10.0 %","-2.2 %","17.6 %","8.7 %","61.6 %"
"","Whistler","$ 2,462,500","322.1","-6.1 %","-2.2 %","7.2 %","-9.9 %","37.6 %","51.5 %","158.9 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
| Change %","3 Year
Change %","5 Year
| Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 976,700","371.9","-0.2 %","2.1 %","6.6 %","2.6 %","40.7 %","37.3 %","139.3 %"
"","Greater Vancouver","$ 1,103,900","383.4","-0.1 %","1.9 %","5.0 %","3.8 %","36.4 %","33.0 %","137.0 %"
"","Burnaby East","$ 903,200","389.3","2.3 %","3.3 %","5.8 %","4.7 %","32.3 %","35.8 %","128.3 %"
"","Burnaby North","$ 914,900","375.9","1.4 %","1.4 %","4.2 %","0.0 %","32.2 %","28.1 %","132.0 %"
"","Burnaby South","$ 1,036,600","390.9","1.8 %","4.5 %","5.9 %","8.4 %","31.8 %","27.3 %","138.1 %"
"","Coquitlam","$ 1,071,300","417.7","0.9 %","1.2 %","5.5 %","1.2 %","41.4 %","41.9 %","170.5 %"
"","Ladner","$ 988,000","394.7","0.1 %","1.4 %","3.4 %","8.9 %","39.7 %","29.5 %","152.0 %"
"","Maple Ridge","$ 763,400","382.7","-0.8 %","-0.6 %","5.7 %","2.1 %","40.1 %","38.5 %","173.0 %"
"","New Westminster","$ 959,600","403.5","0.2 %","1.6 %","2.6 %","3.1 %","40.0 %","34.9 %","139.8 %"
"","North Vancouver","$ 1,320,100","353.6","-2.9 %","1.4 %","-3.2 %","1.4 %","31.1 %","34.9 %","131.3 %"
"","Pitt Meadows","$ 829,600","405.9","-0.8 %","0.4 %","8.8 %","0.4 %","40.4 %","31.5 %","179.7 %"
"","Port Coquitlam","$ 953,700","383.2","-2.2 %","2.7 %","7.9 %","5.5 %","43.4 %","44.4 %","170.4 %"
"","Port Moody","$ 1,057,200","407.6","2.8 %","1.5 %","7.0 %","-2.6 %","40.9 %","40.9 %","169.0 %"
"","Richmond","$ 1,120,800","404.5","-2.0 %","0.1 %","3.7 %","6.8 %","39.6 %","30.4 %","130.7 %"
"","Squamish","$ 1,065,600","383.0","2.1 %","5.1 %","6.7 %","2.8 %","46.7 %","38.7 %","202.3 %"
"","Sunshine Coast","$ 766,900","354.1","2.9 %","5.6 %","6.6 %","4.1 %","52.1 %","48.0 %","180.8 %"
"","Tsawwassen","$ 1,004,800","297.0","0.0 %","-0.1 %","0.2 %","5.8 %","24.5 %","1.8 %","82.1 %"
"","Vancouver East","$ 1,135,400","374.5","0.8 %","2.4 %","7.6 %","3.7 %","26.8 %","24.3 %","112.8 %"
"","Vancouver West","$ 1,498,300","340.8","0.1 %","2.8 %","7.7 %","3.5 %","21.5 %","18.8 %","103.6 %"
"","Whistler","$ 1,536,500","398.3","3.0 %","5.5 %","8.4 %","4.7 %","57.1 %","54.9 %","239.8 %"
"Apartment","Lower Mainland","$ 716,800","358.0","-0.3 %","1.3 %","6.0 %","3.9 %","26.7 %","21.0 %","114.4 %"
"","Greater Vancouver","$ 770,000","354.8","-0.2 %","1.2 %","5.4 %","4.4 %","23.4 %","18.5 %","111.7 %"
"","Burnaby East","$ 799,000","341.9","-0.6 %","1.3 %","7.2 %","2.6 %","23.8 %","17.1 %","108.5 %"
"","Burnaby North","$ 747,500","372.3","0.1 %","-0.7 %","4.2 %","3.1 %","26.9 %","22.2 %","127.7 %"
"","Burnaby South","$ 823,300","394.5","0.1 %","2.2 %","6.7 %","5.8 %","28.6 %","21.3 %","128.8 %"
"","Coquitlam","$ 742,600","421.0","0.1 %","2.6 %","7.2 %","5.8 %","31.6 %","27.3 %","162.6 %"
"","Ladner","$ 731,900","372.3","2.0 %","3.8 %","5.8 %","2.8 %","46.0 %","45.3 %","141.6 %"
"","Maple Ridge","$ 545,400","381.7","2.9 %","2.5 %","8.9 %","0.5 %","43.8 %","38.2 %","166.7 %"
"","New Westminster","$ 659,200","402.2","0.7 %","1.8 %","5.4 %","3.1 %","27.6 %","23.1 %","135.5 %"
"","North Vancouver","$ 817,400","329.2","0.4 %","1.8 %","6.8 %","5.2 %","25.6 %","20.9 %","119.0 %"
"","Pitt Meadows","$ 619,800","423.7","1.9 %","3.0 %","9.9 %","1.2 %","40.3 %","32.0 %","173.4 %"
"","Port Coquitlam","$ 626,600","428.0","-1.7 %","0.2 %","3.1 %","2.5 %","34.2 %","31.9 %","172.8 %"
"","Port Moody","$ 729,600","391.8","0.4 %","1.8 %","4.8 %","1.6 %","28.8 %","27.4 %","154.7 %"
"","Richmond","$ 747,000","410.4","0.8 %","0.0 %","2.5 %","6.5 %","28.6 %","23.2 %","129.4 %"
