"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,056,600","320.2","-1.7 %","-4.2 %","-11.7 %","-5.1 %","28.6 %","12.5 %","84.6 %"
"","Greater Vancouver","$ 1,114,300","314.8","-1.5 %","-3.6 %","-9.8 %","-3.3 %","22.9 %","6.8 %","74.6 %"
"","Bowen Island","$ 1,438,200","303.2","4.0 %","-0.9 %","-13.6 %","-0.2 %","54.5 %","58.9 %","168.1 %"
"","Burnaby East","$ 1,082,300","338.6","-2.3 %","-2.8 %","-8.2 %","-1.0 %","23.6 %","9.8 %","96.5 %"
"","Burnaby North","$ 965,300","320.8","-1.7 %","-3.3 %","-9.8 %","-1.1 %","22.9 %","9.0 %","94.5 %"
"","Burnaby South","$ 1,057,400","330.7","0.2 %","-1.0 %","-8.0 %","-0.3 %","22.3 %","11.0 %","95.8 %"
"","Coquitlam","$ 1,044,700","325.1","-1.2 %","-3.9 %","-9.5 %","-3.1 %","29.6 %","18.6 %","106.8 %"
"","Ladner","$ 1,060,000","307.2","-1.1 %","-4.0 %","-10.9 %","-2.9 %","34.2 %","19.4 %","101.4 %"
"","Maple Ridge","$ 915,200","315.8","-1.6 %","-5.0 %","-14.6 %","-9.8 %","39.2 %","33.4 %","136.7 %"
"","New Westminster","$ 781,400","351.5","-1.9 %","-3.4 %","-7.6 %","1.4 %","29.2 %","21.0 %","110.5 %"
"","North Vancouver","$ 1,296,700","298.8","-2.2 %","-1.8 %","-9.9 %","-2.6 %","23.0 %","10.4 %","93.8 %"
"","Pitt Meadows","$ 853,400","333.8","-1.4 %","-4.8 %","-13.6 %","-8.1 %","38.3 %","32.3 %","138.9 %"
"","Port Coquitlam","$ 888,300","342.0","-0.7 %","-2.6 %","-9.5 %","-1.5 %","38.2 %","31.9 %","133.4 %"
"","Port Moody","$ 1,079,300","340.2","-1.7 %","-5.3 %","-10.8 %","1.1 %","39.3 %","27.2 %","132.9 %"
"","Richmond","$ 1,093,200","357.4","-1.3 %","-3.3 %","-8.0 %","0.3 %","26.3 %","7.2 %","83.3 %"
"","Squamish","$ 990,400","325.6","-4.4 %","-8.6 %","-17.4 %","-5.4 %","23.9 %","28.5 %","135.8 %"
"","Sunshine Coast","$ 824,500","303.7","1.7 %","-4.6 %","-12.5 %","0.6 %","47.7 %","53.6 %","155.9 %"
"","Tsawwassen","$ 1,143,900","298.0","-2.1 %","-6.0 %","-13.4 %","-4.4 %","26.0 %","11.1 %","96.7 %"
"","Vancouver East","$ 1,112,800","345.9","-1.6 %","-2.9 %","-9.1 %","-3.5 %","20.1 %","8.0 %","85.5 %"
"","Vancouver West","$ 1,233,700","289.5","-1.6 %","-3.6 %","-8.3 %","-6.0 %","8.0 %","-11.7 %","42.3 %"
"","West Vancouver","$ 2,559,400","276.5","-1.6 %","-5.3 %","-11.9 %","-7.0 %","18.6 %","-7.2 %","52.1 %"
"","Whistler","$ 1,308,400","288.2","-3.7 %","-7.5 %","-16.9 %","-4.8 %","28.1 %","38.7 %","142.4 %"
"Single Family Detached","Lower Mainland","$ 1,621,200","355.0","-1.9 %","-4.9 %","-13.5 %","-7.4 %","31.9 %","17.3 %","97.0 %"
"","Greater Vancouver","$ 1,823,300","339.5","-1.8 %","-4.3 %","-11.4 %","-5.1 %","26.2 %","8.3 %","79.1 %"
"","Bowen Island","$ 1,437,700","303.0","3.9 %","-1.0 %","-13.7 %","-0.3 %","54.4 %","59.0 %","168.1 %"
"","Burnaby East","$ 1,675,400","356.3","-5.1 %","-6.1 %","-11.3 %","-6.5 %","25.7 %","15.1 %","112.5 %"
"","Burnaby North","$ 1,889,600","361.0","-1.7 %","-3.5 %","-11.2 %","-0.5 %","28.6 %","14.0 %","108.8 %"
"","Burnaby South","$ 2,038,900","378.7","0.5 %","-1.9 %","-10.2 %","-1.4 %","26.5 %","12.8 %","113.2 %"
"","Coquitlam","$ 1,698,400","388.6","-1.7 %","-4.5 %","-9.4 %","-2.6 %","39.7 %","29.3 %","143.3 %"
"","Ladner","$ 1,299,400","313.8","0.1 %","-4.2 %","-12.3 %","-6.5 %","37.9 %","21.9 %","103.9 %"
"","Maple Ridge","$ 1,166,600","341.1","-1.4 %","-5.1 %","-15.4 %","-11.8 %","40.6 %","39.3 %","152.3 %"
"","New Westminster","$ 1,402,600","350.6","-2.9 %","-5.3 %","-9.0 %","-4.3 %","34.5 %","20.5 %","113.5 %"
"","North Vancouver","$ 2,081,400","324.7","-2.4 %","-0.5 %","-10.5 %","-3.0 %","26.0 %","15.9 %","115.6 %"
"","Pitt Meadows","$ 1,166,600","344.6","0.1 %","-6.0 %","-16.1 %","-14.7 %","36.1 %","33.8 %","143.9 %"
"","Port Coquitlam","$ 1,277,000","360.9","-0.4 %","-2.9 %","-10.6 %","-5.8 %","39.1 %","33.9 %","147.0 %"
"","Port Moody","$ 1,955,900","370.4","-1.2 %","-5.7 %","-11.1 %","1.3 %","41.6 %","32.5 %","142.4 %"
"","Richmond","$ 1,978,200","403.8","-2.7 %","-5.0 %","-8.4 %","-2.9 %","26.0 %","9.3 %","96.0 %"
"","Squamish","$ 1,504,400","373.0","-7.1 %","-9.4 %","-17.1 %","-5.4 %","30.5 %","37.9 %","188.0 %"
"","Sunshine Coast","$ 912,000","318.0","2.4 %","-3.6 %","-11.1 %","1.9 %","55.6 %","63.6 %","168.6 %"
"","Tsawwassen","$ 1,438,100","318.5","-1.8 %","-6.7 %","-14.8 %","-7.4 %","31.5 %","18.1 %","112.6 %"
"","Vancouver East","$ 1,677,600","375.4","-2.3 %","-3.6 %","-11.9 %","-5.2 %","21.3 %","11.3 %","103.9 %"
"","Vancouver West","$ 3,073,500","320.7","-1.7 %","-5.7 %","-12.2 %","-8.2 %","8.8 %","-11.8 %","49.9 %"
"","West Vancouver","$ 3,090,800","287.5","-1.2 %","-5.3 %","-11.5 %","-6.7 %","18.9 %","-4.9 %","56.8 %"
"","Whistler","$ 2,340,100","316.0","-7.3 %","-9.6 %","-16.6 %","-4.8 %","30.4 %","39.1 %","153.0 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
| Change %","3 Year
Change % |","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 901,200","341.0","-1.5 %","-3.8 %","-10.5 %","-0.7 %","34.0 %","31.5 %","121.9 %"
"","Greater Vancouver","$ 1,012,700","348.8","-1.5 %","-3.5 %","-9.2 %","-0.2 %","28.3 %","25.8 %","117.7 %"
"","Burnaby East","$ 854,000","359.6","-0.3 %","0.1 %","-3.8 %","6.5 %","31.1 %","28.0 %","122.4 %"
"","Burnaby North","$ 860,800","349.5","-0.1 %","-3.9 %","-12.3 %","5.2 %","24.2 %","25.5 %","123.6 %"
"","Burnaby South","$ 948,300","352.4","0.4 %","-0.7 %","-8.9 %","4.4 %","25.2 %","24.8 %","118.2 %"
"","Coquitlam","$ 978,400","378.9","-1.6 %","-5.2 %","-10.0 %","-0.4 %","33.5 %","33.6 %","145.4 %"
"","Ladner","$ 880,200","338.0","-3.3 %","-4.2 %","-11.2 %","-3.2 %","23.8 %","18.7 %","120.1 %"
"","Maple Ridge","$ 712,800","354.1","-2.4 %","-5.1 %","-14.5 %","-5.6 %","35.7 %","37.9 %","152.2 %"
"","New Westminster","$ 872,800","371.6","-2.3 %","-3.3 %","-8.3 %","4.2 %","35.6 %","29.7 %","128.0 %"
"","North Vancouver","$ 1,225,000","332.7","-0.8 %","0.4 %","-9.1 %","0.4 %","35.1 %","27.8 %","121.1 %"
"","Pitt Meadows","$ 807,600","391.3","-3.9 %","-1.3 %","-8.4 %","-1.2 %","44.3 %","41.9 %","160.9 %"
"","Port Coquitlam","$ 870,000","348.4","0.1 %","-4.4 %","-11.3 %","-1.2 %","37.7 %","36.4 %","149.9 %"
"","Port Moody","$ 986,200","374.4","-1.4 %","-5.5 %","-11.7 %","2.7 %","37.7 %","40.5 %","149.1 %"
