"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,059,300","321.0","0.9 %","-1.4 %","-6.3 %","-12.7 %","25.7 %","11.8 %","82.5 %"
"","Greater Vancouver","$ 1,123,400","317.3","1.1 %","-0.8 %","-4.9 %","-9.3 %","20.8 %","6.9 %","73.6 %"
"","Bowen Island","$ 1,325,300","279.4","-5.7 %","-4.2 %","-14.3 %","-14.6 %","45.6 %","34.3%","137.2 %"
"","Burnaby East","$ 1,102,900","345.1","2.2 %","-0.4 %","-0.5 %","-8.4 %","19.3 %","10.2 %","99.5 %"
"","Burnaby North","$ 963,600","320.2","0.9 %","-1.9 %","-4.8 %","-7.0 %","19.3 %","9.1 %","89.7 %"
"","Burnaby South","$ 1,060,000","331.6","0.7 %","0.4 %","-3.0 %","-7.6 %","19.3 %","9.6 %","93.9 %"
"","Coquitlam","$ 1,049,700","326.7","0.7 %","-0.8 %","-5.0 %","-10.4 %","27.0 %","16.8 %","106.9 %"
"","Ladner","$ 1,070,400","310.3","1.1 %","-0.1 %","-6.3 %","-11.1 %","34.0 %","22.8 %","96.6 %"
"","Maple Ridge","$ 918,300","316.9","0.9 %","-1.2 %","-7.6 %","-19.0 %","36.7 %","29.3 %","134.6 %"
"","New Westminster","$ 800,100","359.9","2.3 %","0.4 %","-2.0 %","-5.5 %","26.1 %","19.8 %","111.7 %"
"","North Vancouver","$ 1,301,400","299.9","1.7 %","-1.9 %","-5.0 %","-11.2 %","20.2 %","8.3 %","88.9 %"
"","Pitt Meadows","$ 825,900","323.0","-0.6 %","-4.6 %","-9.4 %","-19.5 %","29.3 %","24.8 %","127.0 %"
"","Port Coquitlam","$ 900,900","346.9","0.7 %","0.7 %","-1.8 %","-9.8 %","38.8 %","29.8 %","137.4 %"
"","Port Moody","$ 1,093,000","344.5","0.9 %","-0.5 %","-7.0 %","-4.5 %","35.3 %","25.4 %","138.9 %"
"","Richmond","$ 1,131,100","369.8","2.0 %","2.2 %","-1.0 %","-4.0 %","27.3 %","10.9 %","87.3 %"
"","Squamish","$ 1,019,300","335.1","2.7 %","-1.6 %","-11.2 %","-11.2 %","27.5 %","30.5 %","147.5 %"
"","Sunshine Coast","$ 800,600","294.9","-0.4 %","-1.2 %","-9.1 %","-10.7 %","43.6 %","40.7 %","144.9 %"
"","Tsawwassen","$ 1,112,800","289.9","-3.7 %","-4.8 %","-11.0 %","-15.1 %","21.5 %","6.6 %","88.5 %"
"","Vancouver East","$ 1,116,400","347.0","0.9 %","-1.3 %","-4.9 %","-8.7 %","17.1 %","7.0 %","87.2 %"
"","Vancouver West","$ 1,247,300","292.7","1.5 %","-0.5 %","-4.0 %","-8.9 %","5.3 %","-10.1 %","41.3 %"
"","West Vancouver","$ 2,524,800","272.7","-0.5 %","-3.0 %","-9.0 %","-8.9 %","20.9 %","-9.3 %","46.6 %"
"","Whistler","$ 1,325,200","291.9","1.5 %","-2.5 %","-12.0 %","-11.9 %","30.1 %","40.1 %","152.9 %"
"Single Family Detached","Lower Mainland","$ 1,610,500","352.6","0.6 %","-2.5 %","-8.2 %","-15.8 %","28.3 %","16.4 %","93.1 %"
"","Greater Vancouver","$ 1,813,100","337.6","0.7 %","-2.3 %","-7.2 %","-12.0 %","23.3 %","8.1 %","75.8 %"
"","Bowen Island","$ 1,325,200","279.3","-5.7 %","-4.2 %","-14.3 %","-14.6 %","45.6 %","34.3 %","137.3 %"
"","Burnaby East","$ 1,729,700","367.9","3.4 %","-2.0 %","0.0 %","-13.3 %","21.1 %","18.9 %","113.5 %"
"","Burnaby North","$ 1,841,100","351.8","0.8 %","-4.2 %","-6.2 %","-9.0 %","22.3 %","14.4 %","101.1 %"
"","Burnaby South","$ 1,997,200","371.0","0.4 %","-1.5 %","-5.1 %","-10.8 %","22.0 %","11.5 %","103.4 %"
"","Coquitlam","$ 1,694,000","387.6","0.3 %","-2.0 %","-5.6 %","-9.8 %","36.0 %","27.3 %","141.5 %"
"","Ladner","$ 1,251,400","302.2","-1.3 %","-3.6 %","-12.1 %","-18.6 %","30.1 %","20.7 %","89.3 %"
"","Maple Ridge","$ 1,169,000","341.8","0.3 %","-1.2 %","-8.6 %","-20.3 %","36.6 %","35.0 %","151.9 %"
"","New Westminster","$ 1,418,100","354.4","2.4 %","-1.8 %","-2.2 %","-13.1 %","27.0 %","21.2 %","112.6 %"
"","North Vancouver","$ 2,058,500","321.1","1.3 %","-3.5 %","-6.8 %","-13.8 %","23.1 %","11.2 %","106.8 %"
"","Pitt Meadows","$ 1,122,200","331.5","-1.1 %","-3.7 %","-10.5 %","-26.2 %","24.9 %","26.2 %","128.0 %"
"","Port Coquitlam","$ 1,282,000","362.4","0.2 %","0.0 %","-3.5 %","-16.2 %","38.3 %","33.0 %","150.1 %"
"","Port Moody","$ 1,969,900","373.0","-0.3 %","-0.5 %","-8.2 %","-4.4 %","36.3 %","29.7 %","151.3 %"
"","Richmond","$ 2,005,700","409.4","2.0 %","-1.3 %","-5.0 %","-7.1 %","24.2 %","10.9 %","98.5 %"
"","Squamish","$ 1,478,200","366.5","0.5 %","-8.8 %","-16.2 %","-14.0 %","27.3 %","32.2 %","185.2 %"
"","Sunshine Coast","$ 868,100","302.7","-1.1 %","-2.5 %","-9.3 %","-11.2 %","49.1 %","45.2 %","149.1 %"
