"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change % |","1 Year
Change %","3 Year
Change % |","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,049,900","318.2","-0.6 %","-3.9 %","-9.9 %","-9.5 %","26.4 %","11.3 %","83.5 %"
"","Greater Vancouver","$ 1,111,400","314.0","-0.3 %","-3.2 %","-7.9 %","-6.6 %","21.1 %","6.1 %","74.4 %"
"","Bowen Island","$ 1,405,300","296.3","-2.3 %","-0.5 %","-13.2 %","-5.0 %","49.4 %","48.4 %","144.9 %"
"","Burnaby East","$ 1,079,300","337.7","-0.3 %","-4.1 %","-6.5 %","-4.7 %","18.8 %","8.4 %","95.2 %"
"","Burnaby North","$ 954,400","317.2","-1.1 %","-4.0 %","-9.2 %","-4.1 %","19.3 %","7.7 %","91.7 %"
"","Burnaby South","$ 1,052,800","329.3","-0.4 %","-1.1 %","-4.3 %","-4.7 %","20.4 %","10.3 %","94.9 %"
"","Coquitlam","$ 1,042,600","324.5","-0.2 %","-2.9 %","-8.1 %","-6.9 %","27.3 %","17.7 %","107.2 %"
"","Ladner","$ 1,058,700","306.9","-0.1 %","-4.7 %","-9.4 %","-9.9 %","33.3 %","20.6 %","99.8 %"
"","Maple Ridge","$ 910,000","314.0","-0.6 %","-3.3 %","-12.6 %","-14.5 %","38.7 %","31.0 %","133.5 %"
"","New Westminster","$ 782,300","351.9","0.1 %","-3.4 %","-6.2 %","-2.7 %","26.3 %","19.7 %","110.2 %"
"","North Vancouver","$ 1,279,400","294.8","-1.3 %","-3.8 %","-9.3 %","-7.7 %","18.7 %","8.0 %","89.9 %"
"","Pitt Meadows","$ 830,600","324.8","-2.7 %","-4.9 %","-13.1 %","-14.9 %","34.8 %","27.7 %","131.3 %"
"","Port Coquitlam","$ 894,600","344.5","0.7 %","-1.8 %","-5.4 %","-5.2 %","38.2 %","32.1 %","134.5 %"
"","Port Moody","$ 1,083,700","341.5","0.4 %","-3.0 %","-9.5 %","0.2 %","38.4 %","26.5 %","136.5 %"
"","Richmond","$ 1,109,200","362.6","1.5 %","-1.1 %","-4.6 %","-2.3 %","26.4 %","8.5 %","88.2 %"
"","Squamish","$ 993,000","326.4","0.2 %","-7.8 %","-16.5 %","-8.5 %","27.4 %","30.1 %","140.7 %"
"","Sunshine Coast","$ 803,600","296.0","-2.5 %","-3.9 %","-12.7 %","-4.6 %","43.5 %","46.5 %","141.2 %"
"","Tsawwassen","$ 1,154,900","300.9","1.0 %","-5.2 %","-8.2 %","-7.5 %","27.4 %","12.1 %","92.5 %"
"","Vancouver East","$ 1,106,000","343.8","-0.6 %","-1.9 %","-7.6 %","-6.1 %","17.8 %","6.0 %","85.9 %"
"","Vancouver West","$ 1,229,600","288.5","-0.3 %","-3.7 %","-6.5 %","-8.7 %","5.3 %","-12.1 %","42.0 %"
"","West Vancouver","$ 2,538,200","274.2","-0.8 %","-7.1 %","-9.7 %","-6.8 %","20.4 %","-9.3 %","50.8 %"
"","Whistler","$ 1,306,100","287.7","-0.2 %","-8.0 %","-16.3 %","-8.1 %","31.9 %","41.5 %","147.2 %"
"Single Family Detached","Lower Mainland","$ 1,600,900","350.5","-1.3 %","-5.0 %","-11.8 %","-12.4 %","29.2 %","15.7 %","94.9 %"
"","Greater Vancouver","$ 1,801,300","335.4","-1.2 %","-4.8 %","-10.0 %","-9.1 %","23.6 %","7.2 %","77.5 %"
"","Bowen Island","$ 1,404,800","296.1","-2.3 %","-0.5 %","-13.2 %","-5.1 %","49.3 %","48.5 %","144.9 %"
"","Burnaby East","$ 1,673,400","355.9","-0.1 %","-8.4 %","-7.3 %","-10.2 %","19.7 %","14.8 %","111.2 %"
"","Burnaby North","$ 1,826,800","349.0","-3.3 %","-6.2 %","-12.0 %","-5.4 %","22.7 %","11.4 %","101.9 %"
"","Burnaby South","$ 1,988,600","369.4","-2.5 %","-3.8 %","-5.7 %","-7.9 %","22.7 %","11.5 %","106.0 %"
"","Coquitlam","$ 1,689,900","386.6","-0.5 %","-3.5 %","-8.8 %","-6.6 %","37.0 %","27.7 %","143.9 %"
"","Ladner","$ 1,267,700","306.1","-2.5 %","-6.4 %","-13.2 %","-16.0 %","33.2 %","20.9 %","97.1 %"
"","Maple Ridge","$ 1,166,000","340.9","-0.1 %","-2.8 %","-13.2 %","-16.2 %","40.2 %","37.1 %","150.7 %"
"","New Westminster","$ 1,384,300","346.0","-1.3 %","-7.6 %","-6.9 %","-8.8 %","27.1 %","18.4 %","110.2 %"
"","North Vancouver","$ 2,033,000","317.1","-2.3 %","-4.3 %","-10.7 %","-9.5 %","22.1 %","12.0 %","107.9 %"
"","Pitt Meadows","$ 1,135,000","335.3","-2.7 %","-4.6 %","-15.0 %","-21.1 %","32.2 %","28.3 %","135.1 %"
"","Port Coquitlam","$ 1,279,200","361.6","0.2 %","-2.6 %","-8.3 %","-11.5 %","38.0 %","34.4 %","148.2 %"
"","Port Moody","$ 1,976,200","374.2","1.0 %","-2.7 %","-9.4 %","0.8 %","42.8 %","32.2 %","154.7 %"
"","Richmond","$ 1,965,700","401.2","-0.6 %","-4.3 %","-7.7 %","-5.2 %","23.4 %","9.2 %","97.4 %"
"","Squamish","$ 1,470,900","364.7","-2.2 %","-12.8 %","-17.7 %","-11.5 %","32.0 %","35.3 %","185.8 %"
"","Sunshine Coast","$ 877,500","306.0","-3.8 %","-4.3 %","-12.0 %","-4.8 %","48.4 %","52.2 %","146.4 %"
"","Tsawwassen","$ 1,434,600","317.7","-0.3 %","-6.6 %","-10.1 %","-11.2 %","30.8 %","17.8 %","104.6 %"
"","Vancouver East","$ 1,664,900","372.5","-0.8 %","-3.2 %","-8.7 %","-9.3 %","18.7 %","9.0 %","104.2 %"
"","Vancouver West","$ 3,020,600","315.2","-1.7 %","-5.3 %","-10.7 %","-11.6 %","3.9 %","-11.9 %","48.6 %"
"","West Vancouver","$ 3,074,400","285.9","-0.6 %","-7.3 %","-9.0 %","-5.9 %","21.8 %","-7.2 %","56.2 %"
"","Whistler","$ 2,309,300","311.9","-1.3 %","-12.5 %","-17.7 %","-11.8 %","36.7 %","41.0 %","155.7 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
| Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 897,900","339.7","-0.4 %","-3.2 %","-9.1 %","-5.5 %","32.4 %","30.6 %","120.7 %"
"","Greater Vancouver","$ 1,020,400","351.5","0.8 %","-2.2 %","-6.9 %","-3.0 %","28.2 %","26.9 %","119.0 %"
"","Burnaby East","$ 870,100","366.4","1.9 %","3.6 %","-3.7 %","3.4 %","30.5 %","28.0 %","122.5 %"
"","Burnaby North","$ 871,100","353.7","1.2 %","-1.0 %","-7.6 %","3.4 %","26.3 %","25.5 %","122.7 %"
"","Burnaby South","$ 948,700","352.5","0.0 %","0.7 %","-4.2 %","-0.1 %","24.5 %","21.9 %","117.9 %"
"","Coquitlam","$ 975,600","377.8","-0.3 %","-3.9 %","-9.7 %","-5.3 %","31.9 %","32.3 %","152.0 %"
"","Ladner","$ 926,800","355.9","5.3 %","-1.5 %","-4.9 %","-4.1 %","28.5 %","23.0 %","133.1 %"
"","Maple Ridge","$ 699,000","347.2","-1.9 %","-4.6 %","-11.9 %","-11.2 %","36.1 %","33.4 %","147.8 %"
"","New Westminster","$ 892,300","379.9","2.2 %","-2.7 %","-5.6 %","0.4 %","36.8 %","31.9 %","129.5 %"
"","North Vancouver","$ 1,235,400","335.5","0.8 %","0.4 %","-7.6 %","-3.0 %","33.7 %","26.7 %","117.0 %"
"","Pitt Meadows","$ 767,000","371.6","-5.0 %","-6.3 %","-10.3 %","-9.5 %","39.0 %","34.6 %","149.7 %"
"","Port Coquitlam","$ 879,100","352.1","1.1 %","-1.5 %","-3.9 %","-2.8 %","39.2 %","40.1 %","151.9 %"
"","Port Moody","$ 997,500","378.7","1.1 %","-2.4 %","-11.1 %","0.6 %","37.6 %","40.5 %","156.4 %"
"","Richmond","$ 1,065,600","382.2","1.5 %","0.6 %","-1.3 %","2.0 %","34.7 %","27.4 %","124.8 %"
"","Squamish","$ 961,600","346.6","0.8 %","-3.1 %","-10.8 %","-2.3 %","31.9 %","40.7 %","178.6 %"
"","Sunshine Coast","$ 691,100","313.4","-0.5 %","-3.8 %","-10.7 %","-1.7 %","33.4 %","43.2 %","154.2 %"
"","Tsawwassen","$ 937,100","294.0","4.5 %","-1.6 %","-5.3 %","-4.4 %","15.5 %","1.7 %","88.2 %"
"","Vancouver East","$ 1,022,800","334.9","-1.7 %","-0.6 %","-11.1 %","-3.8 %","13.3 %","14.6 %","91.0 %"
"","Vancouver West","$ 1,380,200","308.6","2.6 %","-6.6 %","-5.7 %","-8.4 %","10.5 %","10.0 %","82.7 %"
"","Whistler","$ 1,367,300","348.5","-0.6 %","-3.5 %","-11.0 %","-0.1 %","34.8 %","52.7 %","196.3 %"
"Apartment","Lower Mainland","$ 668,000","331.0","0.8 %","-1.6 %","-5.4 %","-2.0 %","19.1 %","12.9 %","105.3 %"
