"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,144,400","347.7","1.5 %","6.0 %","8.5 %","-4.1 %","35.2 %","23.0 %","94.7 %"
"","Greater Vancouver","$ 1,203,000","340.7","1.3 %","5.0 %","8.1 %","-2.4 %","29.2 %","17.5 %","83.6 %"
"","Bowen Island","$ 1,387,700","291.2","2.1 %","-1.8 %","-3.6 %","-16.8 %","37.6 %","38.7 %","134.8 %"
"","Burnaby East","$ 1,190,700","370.5","2.7 %","6.9 %","9.1 %","0.1 %","30.5 %","17.8 %","107.4 %"
"","Burnaby North","$ 1,027,300","342.1","0.9 %","4.2 %","6.8 %","-3.7 %","26.8 %","17.8 %","101.1 %"
"","Burnaby South","$ 1,123,100","354.4","1.0 %","5.0 %","6.4 %","-1.7 %","24.1 %","17.6 %","98.7 %"
"","Coquitlam","$ 1,134,200","354.7","1.7 %","4.7 %","7.1 %","-2.9 %","35.7 %","25.5 %","119.6 %"
"","Ladner","$ 1,163,500","337.9","1.6 %","9.4 %","9.9 %","-2.0 %","42.0 %","33.6 %","121.7 %"
"","Maple Ridge","$ 997,900","345.4","1.6 %","7.3 %","9.4 %","-6.5 %","45.8 %","39.2 %","154.9 %"
"","New Westminster","$ 840,200","380.9","1.5 %","4.8 %","8.5 %","0.3 %","34.3 %","24.0 %","117.8 %"
"","North Vancouver","$ 1,409,100","323.8","0.8 %","4.8 %","8.6 %","-2.1 %","28.3 %","19.9 %","96.1 %"
"","Pitt Meadows","$ 927,300","370.5","2.3 %","9.5 %","9.6 %","-4.9 %","43.3 %","36.3 %","165.0 %"
"","Port Coquitlam","$ 967,900","372.3","1.7 %","5.8 %","9.2 %","-1.3 %","47.0 %","36.5 %","150.7 %"
"","Port Moody","$ 1,118,900","353.4","0.6 %","1.8 %","3.8 %","-7.5 %","35.9 %","25.7 %","137.3 %"
"","Richmond","$ 1,185,500","389.3","-0.6 %","2.9 %","8.9 %","0.2 %","35.2 %","18.5 %","96.3 %"
"","Squamish","$ 1,102,700","360.1","1.2 %","5.7 %","11.1 %","-8.5 %","38.7 %","39.1 %","159.4 %"
"","Sunshine Coast","$ 842,600","309.0","4.1 %","2.0 %","1.1 %","-11.4 %","45.6 %","43.1 %","151.2 %"
"","Tsawwassen","$ 1,246,800","323.9","2.0 %","9.7 %","10.1 %","-4.7 %","34.6 %","22.4 %","107.6 %"
"","Vancouver East","$ 1,217,300","378.6","2.0 %","7.3 %","9.6 %","-0.3 %","27.8 %","18.8 %","98.2 %"
"","Vancouver West","$ 1,336,800","314.2","1.3 %","4.4 %","8.6 %","-0.3 %","14.7 %","1.7 %","50.0 %"
"","West Vancouver","$ 2,646,700","285.3","3.2 %","6.0 %","3.8 %","-8.4 %","21.5 %","-0.3 %","54.5 %"
"","Whistler","$ 1,404,100","315.5","1.1 %","4.9 %","9.1 %","-9.6 %","42.1 %","49.3 %","169.9 %"
"Single Family Detached","Lower Mainland","$ 1,781,700","390.1","2.1 %","7.6 %","9.9 %","-4.8 %","39.1 %","31.1 %","110.2 %"
"","Greater Vancouver","$ 1,991,300","370.3","1.9 %","6.5 %","9.2 %","-3.2 %","32.6 %","22.1 %","90.1 %"
"","Bowen Island","$ 1,390,400","291.3","2.1 %","-1.8 %","-3.6 %","-16.7 %","37.5 %","38.6 %","134.9 %"
"","Burnaby East","$ 1,912,200","408.9","4.8 %","11.5 %","15.5 %","2.4 %","39.7 %","30.8 %","132.2 %"
"","Burnaby North","$ 2,039,400","389.9","2.9 %","5.9 %","8.2 %","-3.9 %","33.3 %","28.1 %","116.4 %"
"","Burnaby South","$ 2,213,200","414.8","1.7 %","8.8 %","9.5 %","-1.7 %","31.6 %","26.5 %","113.9 %"
"","Coquitlam","$ 1,787,000","413.8","1.8 %","4.2 %","6.9 %","-3.1 %","42.1 %","34.7 %","152.2 %"
"","Ladner","$ 1,422,900","344.4","2.0 %","14.2 %","9.9 %","-3.6 %","42.7 %","37.7 %","128.4 %"
"","Maple Ridge","$ 1,284,200","375.1","1.8 %","7.9 %","10.0 %","-6.9 %","46.6 %","45.8 %","173.0 %"
"","New Westminster","$ 1,570,600","388.9","2.9 %","9.2 %","11.6 %","1.5 %","39.9 %","32.3 %","127.3 %"
"","North Vancouver","$ 2,271,400","352.5","0.1 %","5.9 %","9.0 %","-2.4 %","31.7 %","26.3 %","118.3 %"
