"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change % |","1 Year
Change %","3 Year
Change % |","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,093,000","331.2","-0.9 %","-6.2 %","-11.7 %","2.1 %","33.8 %","16.3 %","88.1 %"
"","Greater Vancouver","$ 1,148,900","324.5","-0.6 %","-4.8 %","-9.2 %","2.1 %","27.8 %","9.6 %","77.2 %"
"","Bowen Island","$ 1,412,000","297.7","-2.7 %","-12.8 %","-15.6 %","-0.4 %","52.0 %","54.3 %","143.2 %"
"","Burnaby East","$ 1,125,900","352.3","1.1 %","-2.4 %","-7.7 %","6.3 %","27.0 %","15.9 %","95.6 %"
"","Burnaby North","$ 994,400","330.5","-0.3 %","-5.4 %","-7.6 %","4.8 %","28.2 %","12.1 %","97.7 %"
"","Burnaby South","$ 1,064,300","332.9","-0.3 %","-3.3 %","-10.3 %","4.4 %","23.2 %","11.8 %","89.5 %"
"","Coquitlam","$ 1,074,200","334.3","-1.2 %","-5.3 %","-11.5 %","3.6 %","35.4 %","23.3 %","107.8 %"
"","Ladner","$ 1,110,600","321.9","0.6 %","-5.0 %","-10.0 %","4.3 %","43.1 %","24.8 %","110.9 %"
"","Maple Ridge","$ 941,200","324.8","-2.3 %","-9.6 %","-17.3 %","-1.0 %","44.9 %","40.0 %","141.8 %"
"","New Westminster","$ 809,800","364.3","0.2 %","-2.9 %","-6.5 %","7.4 %","33.6 %","27.1 %","111.9 %"
"","North Vancouver","$ 1,330,800","306.6","0.8 %","-5.6 %","-10.1 %","2.0 %","27.1 %","11.5 %","92.0 %"
"","Pitt Meadows","$ 873,100","341.5","-2.7 %","-8.6 %","-15.4 %","1.1 %","42.7 %","39.2 %","140.8 %"
"","Port Coquitlam","$ 911,000","350.8","-0.1 %","-3.7 %","-12.1 %","5.7 %","44.0 %","37.1 %","134.3 %"
"","Port Moody","$ 1,117,500","352.2","-2.0 %","-6.7 %","-8.6 %","7.6 %","44.2 %","30.2 %","137.5 %"
"","Richmond","$ 1,121,200","366.5","-0.9 %","-3.5 %","-6.6 %","5.0 %","30.5 %","10.6 %","85.5 %"
"","Squamish","$ 1,076,600","353.9","-0.6 %","-9.5 %","-8.4 %","2.7 %","37.2 %","42.9 %","161.0 %"
"","Sunshine Coast","$ 835,900","307.9","-3.3 %","-9.2 %","-10.9 %","4.1 %","48.9 %","56.5 %","149.5 %"
"","Tsawwassen","$ 1,218,400","317.5","0.2 %","-3.1 %","-9.4 %","5.7 %","36.8 %","18.7 %","102.7 %"
"","Vancouver East","$ 1,127,300","350.4","-1.6 %","-5.8 %","-10.0 %","0.4 %","24.3 %","9.1 %","85.2 %"
"","Vancouver West","$ 1,276,800","299.6","-0.3 %","-2.9 %","-7.7 %","-2.2 %","12.3 %","-10.3 %","46.1 %"
"","West Vancouver","$ 2,732,300","295.1","1.1 %","-2.8 %","-3.8 %","1.8 %","25.5 %","-2.9 %","61.1 %"
"","Whistler","$ 1,419,700","312.7","0.4 %","-9.0 %","-7.2 %","2.7 %","42.7 %","57.8 %","163.2 %"
"Single Family Detached","Lower Mainland","$ 1,685,100","369.0","-1.1 %","-7.2 %","-13.3 %","0.8 %","37.2 %","21.1 %","100.9 %"
"","Greater Vancouver","$ 1,892,100","352.3","-0.7 %","-5.4 %","-10.0 %","1.6 %","31.2 %","11.0 %","81.9 %"
"","Bowen Island","$ 1,412,600","297.7","-2.7 %","-12.7 %","-15.5 %","-0.3 %","52.0 %","54.4 %","143.4 %"
"","Burnaby East","$ 1,826,700","388.5","2.3 %","1.2 %","-7.6 %","7.6 %","35.6 %","26.4 %","122.4 %"
"","Burnaby North","$ 1,946,300","371.9","-0.6 %","-6.3 %","-8.4 %","7.1 %","33.7 %","16.0 %","109.3 %"
"","Burnaby South","$ 2,067,300","384.0","-0.6 %","-1.9 %","-11.6 %","5.1 %","28.5 %","11.7 %","101.5 %"
