"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,131,800","343.9","-0.8 %","-1.7 %","2.0 %","3.8 %","28.8 %","28.6 %","91.3 %"
"","Greater Vancouver","$ 1,196,500","338.9","-0.6 %","-1.2 %","2.0 %","4.4 %","24.7 %","23.1 %","80.8 %"
"","Bowen Island","$ 1,418,800","297.8","-1.7 %","-2.3 %","-0.7 %","3 %","25.9 %","43.5 %","140.9 %"
"","Burnaby East","$ 1,192,600","371.1","1.1 %","-0.9 %","5.9 %","5.3 %","24.3 %","23.4 %","111.8 %"
"","Burnaby North","$ 1,020,900","340.0","0.7 %","0.0 %","1.8 %","3.1 %","21.3 %","21.8 %","98.7 %"
"","Burnaby South","$ 1,122,000","354.1","-0.5 %","-1.1 %","1.8 %","5.9 %","23.8 %","24.2 %","98.4 %"
"","Coquitlam","$ 1,114,400","348.5","-0.6 %","-1.8 %","1.2 %","2.4 %","28.4 %","29.3 %","115.8 %"
"","Ladner","$ 1,160,200","337.0","-1.5 %","-1.8 %","4.0 %","4.9 %","38.1 %","40.4 %","117.7 %"
"","Maple Ridge","$ 984,700","340.8","-1.5 %","-2.0 %","2.8 %","4.9 %","38.8 %","44.4 %","153.4 %"
"","New Westminster","$ 836,700","379.3","-0.4 %","-1.1 %","3.0 %","4.2 %","27.6 %","28.5 %","119.2 %"
"","North Vancouver","$ 1,392,300","319.9","0.3 %","-1.3 %","1.5 %","4.6 %","22.1 %","25.3 %","91.1 %"
"","Pitt Meadows","$ 915,800","365.9","-1.1 %","-2.6 %","5.0 %","5.9 %","37.3 %","46.9 %","163.4 %"
"","Port Coquitlam","$ 954,500","367.1","-0.4 %","-2.2 %","2.5 %","4.9 %","39.5 %","44.0 %","143.9 %"
"","Port Moody","$ 1,139,900","360.0","1.3 %","1.7 %","2.9 %","1.9 %","35.5 %","33.9 %","141.9 %"
"","Richmond","$ 1,179,700","387.4","-0.4 %","-0.7 %","0.6 %","5.6 %","30.4 %","23.4 %","94.8 %"
"","Squamish","$ 1,088,600","355.5","0.6 %","-3.0 %","0.9 %","0.9 %","29.7 %","40.2 %","155.8 %"
"","Sunshine Coast","$ 831,000","304.7","-1.5 %","-3.9 %","-0.2 %","-1.6 %","29.8 %","42.8 %","148.7 %"
"","Tsawwassen","$ 1,218,900","316.7","-2.3 %","-0.3 %","0.0 %","1.1 %","28.9 %","25.8 %","105.5 %"
"","Vancouver East","$ 1,217,200","378.6","-0.9 %","-1.0 %","4.0 %","8.4 %","24.5 %","25.3 %","97.3 %"
"","Vancouver West","$ 1,330,800","312.8","-1.4 %","-1.5 %","1.3 %","4.5 %","13.6 %","6.3 %","46.0 %"
"","West Vancouver","$ 2,658,100","286.6","0.2 %","0.4 %","4.8 %","-2.2 %","13.0 %","9.1 %","50.4 %"
"","Whistler","$ 1,374,900","308.9","0.2 %","-3.6 %","-1.1 %","-1.4 %","30.4 %","48.5 %","167.2 %"
"Single Family Detached","Lower Mainland","$ 1,779,900","389.7","-1.0 %","-1.2 %","4.1 %","5.7 %","32.6 %","37.5 %","107.6 %"
"","Greater Vancouver","$ 2,001,400","372.1","-0.8 %","-0.6 %","4.3 %","5.8 %","28.0 %","29.1 %","87.8 %"
"","Bowen Island","$ 1,422,400","298.0","-1.7 %","-2.3 %","-0.7 %","0.3 %","26.0 %","43.5 %","141.1 %"
"","Burnaby East","$ 1,894,800","405.2","1.8 %","-2.6 %","8.8 %","5.0 %","30.7 %","35.4 %","132.9 %"
"","Burnaby North","$ 2,079,300","397.6","1.5 %","1.9 %","6.7 %","7.2 %","32.6 %","33.2 %","120.5 %"
"","Burnaby South","$ 2,199,700","412.2","0.1 %","-1.6 %","2.4 %","7.0 %","28.3 %","32.7 %","114.8 %"
"","Coquitlam","$ 1,796,500","416.0","0.4 %","0.1 %","4.0 %","4.3 %","36.0 %","41.4 %","151.7 %"
"","Ladner","$ 1,423,000","344.4","-1.3 %","-1.9 %","5.6 %","5.5 %","37.2 %","49.0 %","123.3 %"
"","Maple Ridge","$ 1,280,100","373.9","-1.3 %","-2.1 %","4.4 %","6.5 %","39.8 %","51.4 %","173.9 %"
"","New Westminster","$ 1,550,700","383.9","0.8 %","-3.1 %","6.5 %","3.2 %","30.6 %","36.3 %","125.3 %"
"","North Vancouver","$ 2,273,800","352.9","0.0 %","-0.5 %","3.3 %","6.9 %","26.0 %","33.0 %","114.4 %"
"","Pitt Meadows","$ 1,297,400","390.2","-2.6 %","-4.3 %","8.4 %","9.7 %","37.3 %","53.3 %","168.9 %"
"","Port Coquitlam","$ 1,386,100","390.5","-1.5 %","-2.7 %","2.4 %","5.5 %","39.2 %","47.2 %","164.4 %"
"","Port Moody","$ 2,089,100","396.6","0.4 %","0.9 %","4.6 %","3.4 %","39.1 %","36.1 %","157.0 %"
"","Richmond","$ 2,155,600","438.8","-1.1 %","-1.2 %","0.7 %","4.7 %","27.9 %","25.2 %","110.3 %"
"","Squamish","$ 1,571,300","384.5","-0.6 %","-6.7 %","-1.5 %","-7.6 %","23.9 %","44.8 %","193.7 %"
"","Sunshine Coast","$ 880,400","307.6","-2.6 %","-5.3 %","-0.8 %","-3.8 %","28.8 %","44.5 %","150.3 %"
"","Tsawwassen","$ 1,572,600","347.6","-1.4 %","0.8 %","1.6 %","2.2 %","33.6 %","37.4 %","129.0 %"
"","Vancouver East","$ 1,878,200","417.7","-1.1 %","-1.0 %","5.6 %","9.2 %","25.8 %","30.4 %","119.8 %"
"","Vancouver West","$ 3,436,500","357.1","-3.3 %","-0.6 %","3.4 %","6.9 %","12.8 %","10.0 %","57.8 %"
