Area,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total
Ambleside,"1,527","1,896","2,962",**,"2,211"
Capital Hill/Brentwood,984,"1,491","2,014","1,730","1,636"
Cedar Cottage,"1,509","1,487","2,233","3,195","1,835"
Central Lonsdale,"1,469","1,784","2,310","3,746","1,941"
Central Park,"1,528","1,462","1,855","2,242","1,585"
Cloverdale/Fleetwood,**,"1,224","1,636",**,"1,391"
Collingwood,"1,378","1,417","1,888",**,"1,608"
Coquitlam East,**,"1,582","1,794",**,"1,681"
Coquitlam West,"1,248","1,324","1,618",**,"1,430"
Deer Lake,**,**,**,**,**
Downtown,"1,383","1,491","1,961","2,850","1,626"
Downtown Central,"1,515","1,752","2,675","3,964","1,809"
Downtown Eastside/Strathcona,"1,847","2,029",**,**,"2,105"
Downtown North,"1,757","2,116","2,728",**,"2,202"
Dundrave/West Vancouver Remainder,"1,497","1,954","2,926","4,285","2,376"
Edmonds,"1,095","1,259","1,576",**,"1,332"
English Bay,"1,343","1,756","2,571",**,"1,782"
Fraser View/Killarny,"1,136","1,608","1,992","2,162","1,783"
Guildford,**,"1,104","1,256","1,482","1,205"
Hastings/Sunrise/Grandview/Woodlands,"1,332","1,397","1,907","1,988","1,478"
Kerrisdale,"1,284","1,536","2,133","3,386","1,713"
Kitsilano/Point Grey North,"1,381","1,680","2,306",**,"1,771"
Kitsilano/Point Grey South,"1,325","1,668","2,294","3,479","1,846"
Ladner,905,"1,073","1,468","2,774","1,292"
Langley CY,909,"1,240","1,603","1,747","1,437"
Langley DM,**,"1,401","1,939",**,"1,713"
Lonsdale East,"1,150","1,436","1,715",**,"1,531"
Lonsdale North,"1,236","1,480","1,794","3,101","1,616"
Lonsdale West,"1,136","1,534","2,124",**,"1,697"
Maple Ridge,837,"1,102","1,433","1,891","1,242"
Marpole Remainder,"1,003","1,200","1,549",**,"1,254"
Marpole South,"1,089","1,249","1,542",**,"1,285"
Metrotown,"1,071","1,396","1,765","2,650","1,485"
Mount Pleasant,"1,362","1,493","1,921",**,"1,539"
New Westminster East,"1,032","1,333","2,036","2,644","1,602"
New Westminster West,**,"1,489","2,158",**,"1,983"
Newton,**,"1,274","1,592","1,747","1,464"
North Delta,**,"1,033","1,615",**,"1,396"
North False Creek,**,"2,232","3,356",**,"2,325"
North Vancouver DM East,**,"1,902","2,143","2,119","2,080"
North Vancouver DM West,"1,448","1,877","2,830","3,798","2,370"
Pitt Meadows,**,"1,529","1,608","1,941","1,619"
Point Grey,"1,459","1,768","2,630",**,"1,780"
Port Coquitlam,832,"1,393","1,963","1,799","1,728"
Port Moody,**,"1,610","2,059","2,117","1,867"
Renfrew,**,**,**,**,**
Richmond City Centre,"1,210","1,381","1,760","2,283","1,547"
Richmond East,**,**,"1,901",**,"1,954"
Richmond South,"1,190","1,378","1,822","2,179","1,598"
Richmond West,**,"1,555","1,981","2,483","1,887"
Riley Park,"1,050","1,538","2,208",**,"1,715"
South Cambie,"1,255","1,519","1,977",**,"1,617"
South False Creek,"1,733","2,031","2,336",**,"2,152"
South Granville,"1,292","1,569","2,089","2,316","1,593"
South Surrey,**,"1,206","1,441",**,"1,337"
Southeast Burnaby South,**,"1,189","1,758",**,"1,387"
Sunset,"1,292","1,508","2,279","3,390","1,783"
Surrey City Centre,**,"1,594","1,832",**,"1,681"
Tsawwassen,912,"1,217","1,647",**,"1,395"
University Endowment Lands,"1,613","1,862","2,739","3,639","2,300"
University/Lougheed,"1,179","1,582","2,035","2,156","1,809"
Uptown,"1,137","1,274","1,505","1,928","1,328"
West End/Stanley Park North,"1,425","1,653","2,469","3,415","1,806"
West End/Stanley Park South,"1,290","1,636","2,371",**,"1,636"
Westside Heights,"1,242","1,426","1,609","2,351","1,460"
Westside/Kerrisdale Remainder,"1,984","1,874","3,049","4,256","2,479"
Whalley,**,"1,523","1,577","1,730","1,573"
White Rock,"1,016","1,185","1,559","2,660","1,300"
Vancouver,"1,378","1,543","2,009","2,441","1,675"
