Area,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total
Ambleside,"1,400","1,900","3,250",**,"2,200"
Capital Hill/Brentwood,975,"1,405","1,664","1,688","1,543"
Cedar Cottage,"1,544","1,450","2,220","3,350","1,650"
Central Lonsdale,"1,375","1,794","2,250","3,700","1,850"
Central Park,"1,361","1,300","1,850","1,950","1,450"
Cloverdale/Fleetwood,**,"1,275","1,491",**,"1,375"
Collingwood,"1,421","1,340","1,860",**,"1,600"
Coquitlam East,**,"1,410","1,850",**,"1,537"
Coquitlam West,"1,125","1,275","1,525",**,"1,400"
Deer Lake,**,**,**,**,**
Downtown,"1,460","1,400","1,950","3,116","1,550"
Downtown Central,"1,550","1,700","2,600","3,750","1,680"
Downtown Eastside/Strathcona,"1,995",**,**,**,"1,995"
Downtown North,"1,732","2,050","2,750",**,"2,098"
Dundrave/West Vancouver Remainder,"1,550","1,831","3,000","4,263","2,160"
Edmonds,930,"1,300","1,650",**,"1,333"
English Bay,"1,298","1,700","2,480",**,"1,700"
Fraser View/Killarny,"1,057","1,542","2,050","2,131","1,716"
Guildford,**,"1,025","1,134","1,367","1,130"
Hastings/Sunrise/Grandview/Woodlands,"1,250","1,350","1,850","1,860","1,445"
Kerrisdale,"1,200","1,451","2,101","3,050","1,600"
Kitsilano/Point Grey North,"1,394","1,675","2,250",**,"1,700"
Kitsilano/Point Grey South,"1,300","1,625","2,300","3,625","1,725"
Ladner,900,"1,085","1,383","2,800","1,105"
Langley CY,820,"1,240","1,600","1,702","1,446"
Langley DM,**,"1,550","1,990",**,"1,788"
Lonsdale East,"1,199","1,490","1,632",**,"1,500"
Lonsdale North,"1,275","1,450","1,712","3,236","1,550"
Lonsdale West,"1,150","1,597","2,288",**,"1,650"
Maple Ridge,845,"1,100","1,446","1,852","1,300"
Marpole Remainder,"1,100","1,200","1,725",**,"1,200"
Marpole South,"1,015","1,200","1,500",**,"1,235"
Metrotown,"1,040","1,300","1,625","2,663","1,345"
Mount Pleasant,"1,300","1,500","1,750",**,"1,500"
New Westminster East,925,"1,290","2,054","2,248","1,450"
New Westminster West,**,"1,535","2,150",**,"2,150"
Newton,**,"1,319","1,509","1,800","1,350"
North Delta,**,913,"1,950",**,**
North False Creek,**,"2,300",**,**,"2,275"
North Vancouver DM East,**,"1,845","2,080","1,890","2,028"
North Vancouver DM West,"1,446","1,830","3,450","3,700","2,045"
Pitt Meadows,**,"1,650","1,600","1,900","1,650"
Point Grey,**,"1,550",**,**,"1,550"
Port Coquitlam,779,"1,400","2,025",**,"1,925"
Port Moody,**,"1,763","2,213","2,100","1,903"
Renfrew,**,**,**,**,**
Richmond City Centre,"1,335","1,311","1,700","2,283","1,500"
Richmond East,**,**,"1,900",**,"2,100"
Richmond South,"1,350","1,500","1,726","2,500","1,500"
Richmond West,**,"1,600","1,893","2,070","1,700"
Riley Park,978,"1,475","2,300",**,"1,618"
South Cambie,"1,265","1,475","1,953",**,"1,502"
South False Creek,"1,738","2,125",**,**,"2,125"
South Granville,"1,243","1,573","2,034","2,395","1,560"
South Surrey,**,"1,115","1,405",**,"1,288"
Southeast Burnaby South,**,"1,215","1,800",**,"1,313"
Sunset,"1,325","1,500",**,**,"1,650"
Surrey City Centre,**,"1,700","1,800",**,"1,700"
Tsawwassen,863,"1,228","1,589",**,"1,258"
University Endowment Lands,"1,647","1,920","2,750","3,500","2,248"
University/Lougheed,"1,179","1,575","1,970","1,979","1,750"
Uptown,"1,100","1,217","1,456","1,850","1,300"
West End/Stanley Park North,"1,400","1,600","2,375","3,145","1,700"
West End/Stanley Park South,"1,316","1,650","2,385",**,"1,600"
Westside Heights,"1,193","1,350","1,500","2,900","1,400"
Westside/Kerrisdale Remainder,"2,350","1,900","2,850","4,800","2,334"
Whalley,**,"1,600","1,550","1,895","1,600"
White Rock,975,"1,125","1,413","3,200","1,179"
Vancouver,"1,345","1,500","1,900","2,100","1,575"
