Area,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total
West End/Stanley Park,"1,340","1,620","2,375","3,145","1,600"
English Bay,"1,298","1,700","2,480",**,"1,700"
Downtown,"1,550","1,775","2,750","3,800","1,800"
South Granville/Oak,"1,265","1,598","2,050",**,"1,602"
Kitsilano/Point Grey,"1,355","1,650","2,250","3,200","1,708"
Westside/Kerrisdale,"1,265","1,522","2,600",**,"1,797"
Marpole,"1,023","1,200","1,500",**,"1,225"
Mount Pleasant/Renfrew Heights,"1,372","1,500","2,030","3,350","1,544"
East Hastings,"1,458","1,400","1,875","1,860","1,463"
Southeast Vancouver,"1,300","1,430","2,030","2,350","1,643"
University Endowment Lands,"1,647","1,920","2,750","3,500","2,248"
Central Park/Metrotown,"1,200","1,300","1,742","2,000","1,395"
Southeast Burnaby,930,"1,250","1,675",**,"1,315"
North Burnaby,975,"1,475","1,700","1,978","1,600"
New Westminster,"1,220","1,265","1,725","2,329","1,400"
North Vancouver CY,"1,300","1,575","1,850","3,400","1,661"
North Vancouver DM,"1,450","1,830","2,250","2,334","2,028"
West Vancouver,"1,512","1,900","3,110","4,400","2,200"
Richmond,"1,269","1,500","1,776","2,436","1,613"
Delta,863,"1,200","1,622","2,800","1,252"
Surrey,"1,005","1,370","1,446","1,796","1,400"
White Rock,975,"1,125","1,413","3,200","1,179"
Langley City and Langley DM,822,"1,309","1,789","1,702","1,525"
Tri-Cities,"1,100","1,370","1,800","1,726","1,500"
Maple Ridge/Pitt Meadows,845,"1,234","1,500","1,900","1,320"
Vancouver,"1,345","1,500","1,900","2,100","1,575"
