,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
West End/Stanley Park,"1,340",a ,"1,620",a ,"2,375",a ,"3,145",b ,"1,600",a ,
English Bay,"1,298",a ,"1,700",a ,"2,480",b ,**,,"1,700",a ,
Downtown,"1,550",a ,"1,775",a ,"2,750",a ,"3,800",b ,"1,800",a ,
South Granville/Oak,"1,265",a ,"1,598",a ,"2,050",a ,**,,"1,602",a ,
Kitsilano/Point Grey,"1,355",a ,"1,650",a ,"2,250",a ,"3,200",c ,"1,708",a ,
Westside/Kerrisdale,"1,265",b ,"1,522",a ,"2,600",a ,**,,"1,797",a ,
Marpole,"1,023",b ,"1,200",a ,"1,500",a ,**,,"1,225",a ,
Mount Pleasant/Renfrew Heights,"1,372",a ,"1,500",a ,"2,030",b ,"3,350",b ,"1,544",a ,
East Hastings,"1,458",b ,"1,400",a ,"1,875",b ,"1,860",a ,"1,463",a ,
Southeast Vancouver,"1,300",b ,"1,430",b ,"2,030",a ,"2,350",c ,"1,643",a ,
University Endowment Lands,"1,647",a ,"1,920",a ,"2,750",a ,"3,500",a ,"2,248",a ,
Central Park/Metrotown,"1,200",a ,"1,300",a ,"1,742",a ,"2,000",c ,"1,395",a ,
Southeast Burnaby,930,c ,"1,250",b ,"1,675",a ,**,,"1,315",b ,
North Burnaby,975,a ,"1,475",a ,"1,700",a ,"1,978",a ,"1,600",a ,
New Westminster,"1,220",b ,"1,265",a ,"1,725",a ,"2,329",b ,"1,400",a ,
North Vancouver CY,"1,300",b ,"1,575",a ,"1,850",a ,"3,400",b ,"1,661",a ,
North Vancouver DM,"1,450",a ,"1,830",b ,"2,250",b ,"2,334",d ,"2,028",a ,
West Vancouver,"1,512",a ,"1,900",a ,"3,110",a ,"4,400",a ,"2,200",a ,
Richmond,"1,269",b ,"1,500",a ,"1,776",a ,"2,436",b ,"1,613",a ,
Delta,863,b ,"1,200",a ,"1,622",b ,"2,800",b ,"1,252",a ,
Surrey,"1,005",b ,"1,370",a ,"1,446",a ,"1,796",a ,"1,400",a ,
White Rock,975,a ,"1,125",a ,"1,413",b ,"3,200",c ,"1,179",a ,
Langley City and Langley DM,822,b ,"1,309",a ,"1,789",a ,"1,702",a ,"1,525",a ,
Tri-Cities,"1,100",c ,"1,370",a ,"1,800",a ,"1,726",c ,"1,500",a ,
Maple Ridge/Pitt Meadows,845,d ,"1,234",a ,"1,500",a ,"1,900",a ,"1,320",a ,
Vancouver,"1,345",a ,"1,500",a ,"1,900",a ,"2,100",a ,"1,575",a ,
