id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13188,Rental unit in Vancouver · ★4.83 · Studio · 2 beds · 1 bath,51466,Ian And Emma,,Riley Park,49.24773,-123.10509,Entire home/apt,151,2,277,2023-09-03,1.68,2,299,21,23-156488
13358,Condo in Vancouver · ★4.68 · 1 bedroom · 1 bed · 1 bath,52116,Lynn,,West End,49.28201,-123.12669,Entire home/apt,215,1,476,2023-08-20,2.96,1,108,39,22-311727
13490,Rental unit in Vancouver · ★4.92 · 1 bedroom · 1 bed · 1 bath,52467,Iris,,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150,30,99,2023-08-03,0.66,1,40,5,
14267,Home in Vancouver · ★4.76 · 1 bedroom · 2 beds · 1 bath,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150,3,34,2021-07-14,0.22,1,31,0,21-156500
14424,Guest suite in Vancouver · ★4.69 · 1 bedroom · 1 bed · 1 bath,56709,Samantha Jo,,Downtown Eastside,49.27921,-123.08835,Entire home/apt,135,30,269,2023-09-03,1.63,4,124,8,19-162091
16254,Guest suite in Vancouver · ★4.57 · 2 bedrooms · 3 beds · 1 bath,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,350,3,7,2022-07-30,0.11,1,365,0,19-162421
16611,Home in Vancouver · ★4.0 · 3 bedrooms · 4 beds · 1 bath,58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100,365,3,2018-02-16,0.04,5,90,0,
17765,Rental unit in Vancouver · ★4.60 · 1 bedroom · 1 bed · 1 bath,68672,James,,Mount Pleasant,49.26132,-123.10845,Entire home/apt,94,5,203,2021-10-01,1.53,1,0,0,21-156705
18024,Home in Vancouver · 3 bedrooms · 3 beds · 1 private bath,69472,Raine,,Kensington-Cedar Cottage,49.24781,-123.07241,Private room,150,30,0,,,1,0,0,
18270,Condo in Vancouver · ★4.54 · 1 bedroom · 1 bed · 1 shared bath,70437,Ran,,Mount Pleasant,49.26557,-123.096,Private room,51,30,118,2019-12-31,0.78,1,229,0,
