property_type,area,benchmark_price,price_index,1_month_change_percentage,3_month_change_percentage,6_month_change_percentage,1_year_change_percentage,3_year_change_percentage,5_year_change_percentage,10_year_change_percentage,time
Composite,Lower Mainland,1131800,343.9,-0.008,-0.017,0.02,0.038,0.288,0.286,0.913,2023-10-01
Composite,Greater Vancouver,1196500,338.9,-0.006,-0.012,0.02,0.044,0.247,0.231,0.808,2023-10-01
Composite,Bowen Island,1418800,297.8,-0.017,-0.023,-0.007,0.03,0.259,0.435,1.409,2023-10-01
Composite,Burnaby East,1192600,371.1,0.011,-0.009,0.059,0.053,0.243,0.234,1.118,2023-10-01
Composite,Burnaby North,1020900,340.0,0.007,0.0,0.018,0.031,0.213,0.218,0.987,2023-10-01
Composite,Burnaby South,1122000,354.1,-0.005,-0.011,0.018,0.059,0.238,0.242,0.984,2023-10-01
Composite,Coquitlam,1114400,348.5,-0.006,-0.018,0.012,0.024,0.284,0.293,1.158,2023-10-01
Composite,Ladner,1160200,337.0,-0.015,-0.018,0.04,0.049,0.381,0.404,1.177,2023-10-01
Composite,Maple Ridge,984700,340.8,-0.015,-0.02,0.028,0.049,0.388,0.444,1.534,2023-10-01
Composite,New Westminster,836700,379.3,-0.004,-0.011,0.03,0.042,0.276,0.285,1.192,2023-10-01
Composite,North Vancouver,1392300,319.9,0.003,-0.013,0.015,0.046,0.221,0.253,0.911,2023-10-01
Composite,Pitt Meadows,915800,365.9,-0.011,-0.026,0.05,0.059,0.373,0.469,1.634,2023-10-01
Composite,Port Coquitlam,954500,367.1,-0.004,-0.022,0.025,0.049,0.395,0.44,1.439,2023-10-01
Composite,Port Moody,1139900,360.0,0.013,0.017,0.029,0.019,0.355,0.339,1.419,2023-10-01
Composite,Richmond,1179700,387.4,-0.004,-0.007,0.006,0.056,0.304,0.234,0.948,2023-10-01
Composite,Squamish,1088600,355.5,0.006,-0.03,0.009,0.009,0.297,0.402,1.558,2023-10-01
Composite,Sunshine Coast,831000,304.7,-0.015,-0.039,-0.002,-0.016,0.298,0.428,1.487,2023-10-01
Composite,Tsawwassen,1218900,316.7,-0.023,-0.003,0.0,0.011,0.289,0.258,1.055,2023-10-01
Composite,Vancouver East,1217200,378.6,-0.009,-0.01,0.04,0.084,0.245,0.253,0.973,2023-10-01
Composite,Vancouver West,1330800,312.8,-0.014,-0.015,0.013,0.045,0.136,0.063,0.46,2023-10-01
Composite,West Vancouver,2658100,286.6,0.002,0.004,0.048,-0.022,0.13,0.091,0.504,2023-10-01
Composite,Whistler,1374900,308.9,0.002,-0.036,-0.011,-0.014,0.304,0.485,1.672,2023-10-01
House,Lower Mainland,1779900,389.7,-0.01,-0.012,0.041,0.057,0.326,0.375,1.076,2023-10-01
House,Greater Vancouver,2001400,372.1,-0.008,-0.006,0.043,0.058,0.28,0.291,0.878,2023-10-01
House,Bowen Island,1422400,298.0,-0.017,-0.023,-0.007,0.003,0.26,0.435,1.411,2023-10-01
