"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,105,800","335.1","2.5 %","5.3 %","1.2 %","-10.7 %","30.3 %","16.8 %","88.7 %"
"","Greater Vancouver","$ 1,170,700","330.7","2.4 %","5.3 %","1.9 %","-7.4 %","25.5 %","12.1 %","79.3 %"
"","Bowen Island","$ 1,456,700","307.1","8.3 %","3.6 %","3.2 %","-13.0 %","57.9 %","46.4 %","152.1 %"
"","Burnaby East","$ 1,114,900","348.8","0.4 %","3.3 %","-1.0 %","-8.6 %","20.3 %","10.7 %","99.2 %"
"","Burnaby North","$ 1,002,900","333.3","2.5 %","5.1 %","0.8 %","-6.8 %","21.2 %","12.4 %","94.9 %"
"","Burnaby South","$ 1,100,200","344.1","2.3 %","4.5 %","3.4 %","-7.3 %","21.5 %","13.8 %","96.2 %"
"","Coquitlam","$ 1,077,900","335.5","1.1 %","3.4 %","0.4 %","-11.2 %","28.2 %","18.0 %","108.3 %"
"","Ladner","$ 1,112,200","322.4","3.7 %","5.1 %","0.2 %","-9.8 %","36.8 %","26.9 %","109.5 %"
"","Maple Ridge","$ 955,700","329.8","3.2 %","5.0 %","1.5 %","-16.0 %","39.5 %","31.7 %","145.0 %"
"","New Westminster","$ 814,100","366.2","0.4 %","4.1 %","0.5 %","-6.0 %","27.2 %","18.6 %","111.6 %"
"","North Vancouver","$ 1,369,900","315.6","2.2 %","7.1 %","2.9 %","-7.5 %","26.2 %","14.1 %","91.0 %"
"","Pitt Meadows","$ 881,200","344.6","4.1 %","6.1 %","0.9 %","-14.7 %","34.5 %","29.5 %","141.8 %"
"","Port Coquitlam","$ 927,100","357.0","1.2 %","3.6 %","1.8 %","-10.5 %","39.9 %","30.0 %","142.0 %"
"","Port Moody","$ 1,100,400","346.8","-0.5 %","1.6 %","-1.5 %","-10.0 %","34.1 %","24.3 %","135.4 %"
"","Richmond","$ 1,179,200","385.5","2.0 %","6.3 %","5.2 %","-1.7 %","32.7 %","15.6 %","95.2 %"
"","Squamish","$ 1,077,700","354.3","2.0 %","8.5 %","0.1 %","-8.3 %","37.6 %","36.2 %","162.6 %"
"","Sunshine Coast","$ 839,000","309.0","4.6 %","4.4 %","0.4 %","-10.6 %","50.9 %","43.6 %","154.5 %"
"","Tsawwassen","$ 1,185,900","309.0","4.3 %","2.7 %","-2.7 %","-11.8 %","28.8 %","12.8 %","96.6 %"
"","Vancouver East","$ 1,165,700","362.4","2.7 %","5.4 %","3.4 %","-6.9 %","21.5 %","11.3 %","92.3 %"
"","Vancouver West","$ 1,312,400","307.9","3.0 %","6.7 %","2.8 %","-5.1 %","12.7 %","-2.5 %","48.0 %"
"","West Vancouver","$ 2,559,300","276.4","2.7 %","0.8 %","-6.3 %","-9.9 %","17.5 %","-4.5 %","49.8 %"
"","Whistler","$ 1,393,000","306.8","1.4 %","6.6 %","-1.9 %","-9.0 %","38.5 %","45.1 %","162.9 %"
"Single Family Detached","Lower Mainland","$ 1,702,200","372.7","3.2 %","6.3 %","1.0 %","-12.4 %","33.4 %","23.8 %","101.5 %"
"","Greater Vancouver","$ 1,915,800","356.7","2.9 %","6.4 %","1.2 %","-8.8 %","28.1 %","15.9 %","83.5 %"
"","Bowen Island","$ 1,456,300","306.9","8.3 %","3.6 %","3.1 %","-12.9 %","57.9 %","46.4 %","152.2 %"
"","Burnaby East","$ 1,749,700","372.1","1.3 %","4.6 %","-4.2 %","-11.5 %","20.9 %","18.3 %","113.0 %"
"","Burnaby North","$ 1,933,700","369.4","3.0 %","5.8 %","-0.7 %","-9.1 %","23.7 %","17.0 %","107.1 %"
"","Burnaby South","$ 2,145,800","398.6","3.6 %","7.9 %","3.8 %","-8.2 %","25.8 %","18.6 %","110.1 %"
"","Coquitlam","$ 1,747,900","399.9","0.7 %","3.4 %","-0.1 %","-10.9 %","37.4 %","30.5 %","143.5 %"
"","Ladner","$ 1,341,900","324.1","7.1 %","5.9 %","-0.9 %","-13.3 %","37.0 %","30.3 %","109.1 %"
"","Maple Ridge","$ 1,219,600","356.6","3.4 %","4.6 %","1.7 %","-17.0 %","41.6 %","38.4 %","163.0 %"
"","New Westminster","$ 1,433,100","358.2","0.2 %","3.5 %","-4.3 %","-11.5 %","25.6 %","21.3 %","110.5 %"
"","North Vancouver","$ 2,192,900","342.1","2.4 %","7.9 %","3.2 %","-8.3 %","29.8 %","19.5 %","111.0 %"
"","Pitt Meadows","$ 1,220,900","360.7","4.2 %","7.6 %","2.6 %","-17.1 %","35.3 %","34.0 %","146.7 %"
"","Port Coquitlam","$ 1,339,000","378.5","2.2 %","4.7 %","2.0 %","-13.0 %","42.4 %","34.8 %","158.9 %"
"","Port Moody","$ 1,981,400","375.2","-1.8 %","0.3 %","-2.4 %","-10.7 %","36.5 %","30.4 %","148.8 %"
"","Richmond","$ 2,137,600","436.3","1.4 %","8.7 %","4.1 %","-2.7 %","31.7 %","18.3 %","108.5 %"
"","Squamish","$ 1,635,700","405.6","6.0 %","11.2 %","-3.0 %","-7.5 %","41.7 %","48.5 %","224.5 %"
"","Sunshine Coast","$ 917,400","319.9","6.6 %","4.5 %","0.1 %","-10.7 %","56.1 %","49.6 %","162.9 %"
"","Tsawwassen","$ 1,473,200","326.3","7.2 %","2.7 %","-4.1 %","-14.8 %","30.9 %","19.1 %","110.0 %"
"","Vancouver East","$ 1,757,200","393.2","2.6 %","5.6 %","2.2 %","-9.5 %","22.6 %","15.8 %","110.4 %"
"","Vancouver West","$ 3,313,200","345.7","2.9 %","9.7 %","3.9 %","-6.2 %","11.1 %","0.9 %","57.6 %"
"","West Vancouver","$ 3,111,600","289.4","3.1 %","1.2 %","-6.2 %","-8.2 %","18.7 %","-1.4 %","56.4 %"
"","Whistler","$ 2,519,200","340.2","5.8 %","9.1 %","-4.5 %","-8.4 %","42.1 %","53.5 %","174.1 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
| Change %","3 Year
Change % |","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 944,400","357.3","1.9 %","5.2 %","1.8 %","-9.3 %","37.6 %","30.4 %","131.4 %"
"","Greater Vancouver","$ 1,078,400","371.5","2.1 %","5.7 %","3.3 %","-6.0 %","35.0 %","27.2 %","130.6 %"
"","Burnaby East","$ 876,000","368.8","0.7 %","0.7 %","4.2 %","-1.3 %","27.9 %","23.1 %","120.2 %"
"","Burnaby North","$ 903,700","366.9","2.4 %","3.7 %","2.7 %","-5.1 %","29.7 %","26.2 %","126.1 %"
"","Burnaby South","$ 997,800","370.8","4.4 %","5.2 %","5.9 %","-5.1 %","28.1 %","21.1 %","124.9 %"
"","Coquitlam","$ 1,037,600","401.9","2.1 %","6.4 %","2.3 %","-9.7 %","37.8 %","30.4 %","166.2 %"
"","Ladner","$ 991,700","380.8","-0.7 %","7.0 %","5.4 %","-3.3 %","33.0 %","28.7 %","143.3 %"
"","Maple Ridge","$ 747,000","371.1","2.1 %","6.9 %","2.0 %","-15.4 %","38.6 %","30.1 %","164.9 %"
"","New Westminster","$ 928,800","395.4","-0.6 %","4.1 %","1.2 %","-2.4 %","40.5 %","33.4 %","134.5 %"
"","North Vancouver","$ 1,314,400","357.0","0.8 %","6.4 %","6.8 %","-5.2 %","36.9 %","31.6 %","130.6 %"
"","Pitt Meadows","$ 800,700","387.9","4.7 %","4.4 %","-2.2 %","-13.1 %","34.1 %","29.1 %","159.1 %"
"","Port Coquitlam","$ 901,600","361.1","0.4 %","2.6 %","1.1 %","-12.6 %","36.8 %","31.4 %","156.5 %"
"","Port Moody","$ 1,022,300","388.1","1.5 %","2.5 %","0.1 %","-10.1 %","38.0 %","33.5 %","158.6 %"
"","Richmond","$ 1,116,400","400.4","1.2 %","4.8 %","5.4 %","-1.0 %","39.2 %","31.6 %","129.7 %"
"","Squamish","$ 1,006,100","362.7","-0.1 %","4.6 %","1.4 %","-8.0 %","46.1 %","36.5 %","193.9 %"
"","Sunshine Coast","$ 734,500","333.1","0.6 %","6.3 %","2.2 %","-6.9 %","49.1 %","43.6 %","170.2 %"
"","Tsawwassen","$ 990 , 100","310.7","-1.0 %","5.7 %","3.9 %","-4.6 %","19.5 %","6.4 %","91.2 %"
"","Vancouver East","$ 1,110,700","363.7","2.9 %","8.6 %","8.0 %","-3.7 %","25.2 %","13.2 %","109.1 %"
"","Vancouver West","$ 1,481,900","331.4","6.5 %","7.4 %","0.3 %","-4.3 %","22.8 %","10.2 %","100.5 %"
"","Whistler","$ 1,449,500","369.5","0.4 %","6.0 %","2.3 %","-7.4 %","52.2 %","50.4 %","218.3 %"
"Apartment","Lower Mainland","$ 697,800","345.8","1.9 %","4.5 %","2.8 %","-4.5 %","22.5 %","14.0 %","110.1 %"
"","Greater Vancouver","$ 752,300","343.7","2.0 %","4.4 %","3.5 %","-3.1 %","19.3 %","12.4 %","108.2 %"
"","Burnaby East","$ 797,600","335.0","0.4 %","4.9 %","3.4 %","-5.4 %","18.3 %","9.9 %","114.9 %"
"","Burnaby North","$ 734,600","370.8","2.9 %","5.5 %","3.2 %","-1.4 %","26.2 %","22.9 %","125.1 %"
"","Burnaby South","$ 790,800","376.4","2.1 %","4.2 %","5.2 %","-2.1 %","20.9 %","16.1 %","122.9 %"
"","Coquitlam","$ 675,300","383.0","1.5 %","2.9 %","1.5 %","-6.6 %","19.0 %","16.4 %","144.6 %"
"","Ladner","$ 698,900","355.5","-2.1 %","1.1 %","-2.5 %","-4.4 %","44.7 %","35.5 %","140.9 %"
"","Maple Ridge","$ 525,800","363.1","4.3 %","4.4 %","0.1 %","-8.3 %","32.9 %","28.9 %","155.2 %"
"","New Westminster","$ 652,100","390.9","0.6 %","4.7 %","3.1 %","-3.1 %","24.1 %","17.3 %","132.3 %"
"","North Vancouver","$ 802,600","320.5","2.5 %","7.2 %","2.8 %","-3.3 %","21.6 %","12.9 %","112.7 %"
"","Pitt Meadows","$ 596,000","401.9","4.8 %","4.8 %","0.2 %","-8.7 %","29.4 %","22.7 %","160.6 %"
"","Port Coquitlam","$ 625,300","425.1","1.6 %","3.3 %","2.5 %","-5.2 %","34.1 %","27.1 %","171.8 %"
"","Port Moody","$ 706,800","376.8","1.0 %","4.4 %","1.1 %","-6.4 %","19.5 %","16.5 %","139.2 %"
"","Richmond","$ 751,200","405.8","3.4 %","4.2 %","7.4 %","2.6 %","27.4 %","21.5 %","133.8 %"
"","Squamish","$ 574,900","341.0","-5.4 %","6.7 %","7.9 %","-9.0 %","26.9 %","25.4 %","172.4 %"
"","Sunshine Coast","$ 528,300","302.8","-8.4 %","3.3 %","4.4 %","-13.0 %","15.0 %","6.4 %","107.5 %"
"","Tsawwassen","$ 724,900","338.4","-2.1 %","1.6 %","-2.2 %","-3.8 %","31.0 %","18.6 %","132.4 %"
"","Vancouver East","$ 701,100","401.5","1.8 %","3.6 %","3.3 %","-3.8 %","11.6 %","7.7 %","115.6 %"
"","Vancouver West","$ 848,000","320.1","2.5 %","4.1 %","2.4 %","-3.6 %","11.6 %","4.2 %","93.8 %"
"","West Vancouver","$ 1,239,800","242.1","2.2 %","3.6 %","3.9 %","-6.3 %","20.4 %","-2.9 %","67.8 %"
"","Whistler","$ 646,600","278.7","-5.8 %","5.8 %","7.1 %","-8.0 %","30.5 %","34.1 %","161.4 %"
