"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,151,700","350.0","0.7 %","3.8 %","9.6 %","-0.9 %","34.9 %","25.3 %","95.3 %"
"","Greater Vancouver","$ 1,210,700","342.9","0.6 %","3.2 %","8.6 %","0.5 %","29.3 %","19.5 %","84.0 %"
"","Bowen Island","$ 1,452,200","304.8","4.7 %","1.6 %","2.9 %","-10.4 %","40.3 %","49.4 %","148.6 %"
"","Burnaby East","$ 1,203,600","374.5","1.1 %","6.8 %","8.7 %","3.6 %","30.4 %","20.2 %","110.0 %"
"","Burnaby North","$ 1,021,400","340.1","-0.6 %","1.8 %","6.0 %","-2.4 %","25.1 %","18.1 %","98.4 %"
"","Burnaby South","$ 1,135,000","358.2","1.1 %","2.9 %","8.1 %","3.7 %","28.1 %","19.6 %","100.4 %"
"","Coquitlam","$ 1,135,300","355.0","0.1 %","3.1 %","6.8 %","-1.1 %","34.8 %","26.2 %","119.5 %"
"","Ladner","$ 1,181,500","343.2","1.6 %","5.9 %","12.8 %","1.3 %","45.1 %","36.6 %","122.4 %"
"","Maple Ridge","$ 1,004,600","347.7","0.7 %","4.9 %","11.3 %","-3.2 %","46.5 %","41.6 %","154.5 %"
"","New Westminster","$ 846,400","383.7","0.7 %","4.2 %","8.1 %","2.3 %","33.6 %","26.1 %","119.3 %"
"","North Vancouver","$ 1,410,100","324.0","0.1 %","2.8 %","9.1 %","-0.1 %","27.3 %","21.9 %","98.0 %"
"","Pitt Meadows","$ 940,400","375.7","1.4 %","7.8 %","14.6 %","-0.3 %","44.5 %","40.0 %","164.0 %"
"","Port Coquitlam","$ 975,800","375.3","0.8 %","4.8 %","9.5 %","3.2 %","47.2 %","39.9 %","152.4 %"
"","Port Moody","$ 1,120,500","353.9","0.1 %","1.1 %","1.2 %","-6.5 %","35.2 %","27.7 %","137.2 %"
"","Richmond","$ 1,188,300","390.2","0.2 %","1.3 %","7.3 %","2.6 %","34.7 %","19.3 %","96.1 %"
"","Squamish","$ 1,122,500","366.6","1.8 %","4.0 %","11.7 %","-5.9 %","39.3 %","43.2 %","165.8 %"
"","Sunshine Coast","$ 864,900","317.2","2.7 %","3.9 %","4.6 %","-6.8 %","45.9 %","48.8 %","155.0 %"
"","Tsawwassen","$ 1,222,100","317.5","-2.0 %","0.3 %","9.1 %","-2.1 %","30.2 %","21.1 %","102.1 %"
"","Vancouver East","$ 1,229,100","382.3","1.0 %","5.1 %","11.5 %","2.9 %","27.5 %","21.9 %","99.6 %"
"","Vancouver West","$ 1,350,900","317.6","1.1 %","2.9 %","9.2 %","3.0 %","15.8 %","3.5 %","49.9 %"
"","West Vancouver","$ 2,649,300","285.6","0.1 %","4.5 %","5.5 %","-5.3 %","19.5 %","3.2 %","53.5 %"
"","Whistler","$ 1,426,300","320.4","1.6 %","2.6 %","9.2 %","-7.3 %","43.2 %","52.1 %","177.2 %"
"Single Family Detached","Lower Mainland","$ 1,802,100","394.6","1.2 %","5.4 %","12.5 %","-0.7 %","38.8 %","34.2 %","112.0 %"
"","Greater Vancouver","$ 2,012,900","374.3","1.1 %","4.9 %","11.2 %","0.6 %","32.7 %","25.2 %","91.4 %"
"","Bowen Island","$ 1,455,200","304.9","4.7 %","1.6 %","2.9 %","-10.4 %","40.4 %","49.4 %","148.9 %"
"","Burnaby East","$ 1,944,700","415.9","1.7 %","11.7 %","13.2 %","9.0 %","41.3 %","33.6 %","136.0 %"
"","Burnaby North","$ 2,040,600","390.2","0.1 %","4.7 %","8.8 %","-1.4 %","32.6 %","30.4 %","115.2 %"
"","Burnaby South","$ 2,235,800","419.0","1.0 %","4.1 %","14.1 %","6.8 %","35.7 %","27.7 %","117.4 %"
"","Coquitlam","$ 1,795,400","415.7","0.5 %","3.9 %","7.9 %","-1.5 %","41.7 %","34.8 %","154.4 %"
"","Ladner","$ 1,450,200","351.0","1.9 %","7.6 %","16.8 %","-0.3 %","46.1 %","42.2 %","128.8 %"
"","Maple Ridge","$ 1,307,400","381.8","1.8 %","6.6 %","13.0 %","-2.8 %","49.5 %","49.6 %","175.1 %"
"","New Westminster","$ 1,599,400","396.0","1.8 %","9.9 %","11.7 %","7.1 %","42.5 %","37.0 %","131.4 %"
"","North Vancouver","$ 2,286,100","354.8","0.7 %","3.8 %","12.2 %","0.3 %","30.2 %","29.5 %","121.3 %"
"","Pitt Meadows","$ 1,355,900","407.8","2.7 %","13.3 %","20.5 %","2.4 %","48.6 %","48.6 %","175.5 %"
"","Port Coquitlam","$ 1,424,600","401.3","0.5 %","5.2 %","11.2 %","2.1 %","50.1 %","46.0 %","173.0 %"
"","Port Moody","$ 2,070,700","393.1","1.7 %","3.7 %","3.1 %","-4.7 %","42.8 %","32.9 %","154.4 %"
