"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change % |","1 Year
Change %","3 Year
Change % |","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,074,700","325.7","-1.7 %","-4.9 %","-12.4 %","-1.5 %","31.2 %","14.5 %","86.6 %"
"","Greater Vancouver","$ 1,131,600","319.7","-1.5 %","-4.1 %","-10.2 %","-0.6 %","25.3 %","8.3 %","76.2 %"
"","Bowen Island","$ 1,382,800","291.5","-2.1 %","-10.6 %","-17.4 %","-1.7 %","50.4 %","51.2 %","142.3 %"
"","Burnaby East","$ 1,107,700","346.6","-1.6 %","-0.1 %","-8.9 %","3.6 %","24.5 %","12.2 %","99.0 %"
"","Burnaby North","$ 982,500","326.5","-1.2 %","-2.9 %","-9.0 %","2.0 %","24.6 %","11.4 %","97.6 %"
"","Burnaby South","$ 1,055,700","330.2","-0.8 %","-3.4 %","-10.7 %","1.5 %","22.1 %","10.7 %","90.4 %"
"","Coquitlam","$ 1,057,700","329.2","-1.5 %","-4.2 %","-11.9 %","0.5 %","32.2 %","20.4 %","106.7 %"
"","Ladner","$ 1,071,700","310.6","-3.5 %","-6.2 %","-13.2 %","0.6 %","37.9 %","21.0 %","106.2 %"
"","Maple Ridge","$ 930,100","320.9","-1.2 %","-6.4 %","-16.6 %","-5.0 %","42.7 %","36.3 %","142.7 %"
"","New Westminster","$ 796,700","358.4","-1.6 %","-2.4 %","-7.6 %","4.8 %","31.2 %","24.6 %","113.2 %"
"","North Vancouver","$ 1,326,100","305.6","-0.3 %","-3.2 %","-10.1 %","-0.8 %","25.4 %","12.4 %","94.0 %"
"","Pitt Meadows","$ 865,300","338.4","-0.9 %","-5.1 %","-15.8 %","-3.3 %","41.8 %","35.7 %","139.5 %"
"","Port Coquitlam","$ 894,300","344.4","-1.8 %","-2.5 %","-12.7 %","1.8 %","39.6 %","33.1 %","133.2 %"
"","Port Moody","$ 1,098,100","346.1","-1.7 %","-6.6 %","-10.4 %","5.0 %","41.0 %","28.5 %","134.0 %"
"","Richmond","$ 1,107,300","362.0","-1.2 %","-3.1 %","-7.4 %","2.5 %","28.1 %","9.2 %","83.8 %"
"","Squamish","$ 1,035,800","340.5","-3.8 %","-9.8 %","-13.0 %","-2.6 %","32.3 %","36.9 %","153.2 %"
"","Sunshine Coast","$ 810,500","298.5","-3.1 %","-8.0 %","-15.1 %","1.3 %","45.9 %","50.5 %","147.1 %"
"","Tsawwassen","$ 1,168,300","304.4","-4.1 %","-6.6 %","-13.7 %","0.2 %","30.3 %","13.4 %","99.0 %"
"","Vancouver East","$ 1,131,500","351.7","0.4 %","-3.6 %","-9.4 %","-0.7 %","24.1 %","9.7 %","86.6 %"
"","Vancouver West","$ 1,254,000","294.2","-1.8 %","-3.5 %","-8.8 %","-4.1 %","9.8 %","-10.6 %","43.8 %"
"","West Vancouver","$ 2,602,300","281.1","-4.7 %","-6.2 %","-10.2 %","-3.6 %","19.6 %","-8.6 %","58.5 %"
"","Whistler","$ 1,359,400","299.4","-4.3 %","-9.7 %","-12.4 %","-2.5 %","37.2 %","47.9 %","153.7 %"
"Single Family Detached","Lower Mainland","$ 1,651,700","361.7","-2.0 %","-5.8 %","-13.9 %","-3.4 %","34.7 %","19.1 %","99.1 %"
"","Greater Vancouver","$ 1,856,800","345.7","-1.9 %","-5.0 %","-11.3 %","-1.7 %","28.7 %","9.5 %","80.5 %"
"","Bowen Island","$ 1,383,500","291.6","-2.0 %","-10.6 %","-17.3 %","-1.6 %","50.5 %","51.4 %","142.8 %"
"","Burnaby East","$ 1,765,000","375.4","-3.4 %","2.0 %","-10.1 %","2.2 %","30.3 %","21.4 %","124.0 %"
"","Burnaby North","$ 1,922,100","367.2","-1.3 %","-2.1 %","-9.2 %","3.2 %","30.1 %","15.3 %","112.1 %"
"","Burnaby South","$ 2,028,700","376.8","-1.9 %","-3.6 %","-12.5 %","0.0 %","27.1 %","11.9 %","102.4 %"
"","Coquitlam","$ 1,728,400","395.4","-1.3 %","-3.7 %","-11.4 %","2.0 %","42.1 %","31.1 %","144.5 %"
"","Ladner","$ 1,298,700","313.6","-4.2 %","-8.8 %","-16.0 %","-3.6 %","40.2 %","21.5 %","107.5 %"
"","Maple Ridge","$ 1,182,900","345.9","-1.4 %","-7.5 %","-17.8 %","-7.3 %","43.9 %","42.7 %","157.2 %"
"","New Westminster","$ 1,444,500","361.0","-3.6 %","-0.4 %","-10.1 %","1.0 %","36.3 %","23.6 %","118.5 %"
"","North Vancouver","$ 2,132,800","332.7","0.4 %","-3.5 %","-10.0 %","-0.6 %","29.4 %","17.7 %","114.0 %"
"","Pitt Meadows","$ 1,164,800","344.1","-2.1 %","-7.1 %","-19.9 %","-12.8 %","38.4 %","33.9 %","138.8 %"
"","Port Coquitlam","$ 1,282,600","362.5","-2.3 %","-3.4 %","-15.5 %","-2.6 %","40.4 %","34.3 %","147.8 %"
"","Port Moody","$ 1,980,300","375.0","-2.4 %","-7.7 %","-11.2 %","4.8 %","43.8 %","30.5 %","144.1 %"
"","Richmond","$ 2,032,100","414.8","-1.0 %","-3.8 %","-6.7 %","1.9 %","29.0 %","12.3 %","97.7 %"
"","Squamish","$ 1,619,900","401.7","-3.9 %","-8.1 %","-10.6 %","0.7 %","44.2 %","50.7 %","219.8 %"
"","Sunshine Coast","$ 890,400","310.5","-2.9 %","-7.0 %","-14.8 %","2.8 %","52.2 %","57.5 %","156.6 %"
"","Tsawwassen","$ 1,464,800","324.4","-4.6 %","-8.2 %","-15.5 %","-2.5 %","34.5 %","19.9 %","114.4 %"
"","Vancouver East","$ 1,716,500","384.1","-0.2 %","-4.4 %","-11.8 %","-1.8 %","25.6 %","13.3 %","106.0 %"
"","Vancouver West","$ 3,127,400","326.3","-1.9 %","-6.2 %","-10.4 %","-6.7 %","9.9 %","-10.6 %","50.2 %"
"","West Vancouver","$ 3,127,800","290.9","-5.7 %","-6.4 %","-10.0 %","-3.5 %","19.2 %","-6.7 %","63.2 %"
"","Whistler","$ 2,524,900","341.0","-4.3 %","-7.8 %","-10.1 %","2.0 %","45.8 %","52.5 %","183.7 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
| Change %","3 Year
Change %","5 Year
| Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 914,900","346.2","-1.4 %","-4.4 %","-11.3 %","3.1 %","36.9 %","33.9 %","125.0 %"
"","Greater Vancouver","$ 1,027,900","354.1","-1.5 %","-3.9 %","-9.9 %","2.7 %","31.6 %","28.0 %","121.2 %"
"","Burnaby East","$ 856,900","360.8","2.0 %","-2.2 %","-4.6 %","10.5 %","30.3 %","27.2 %","118.8 %"
"","Burnaby North","$ 861,900","349.9","-2.0 %","-7.4 %","-12.3 %","6.3 %","24.4 %","28.0 %","121.2 %"
"","Burnaby South","$ 944,400","350.9","0.2 %","-2.1 %","-11.4 %","4.3 %","23.9 %","24.3 %","118.6 %"
"","Coquitlam","$ 994,300","385.1","-2.0 %","-6.1 %","-11.3 %","3.7 %","39.0 %","36.7 %","148.0 %"
"","Ladner","$ 909,800","349.4","-3.3 %","-2.4 %","-9.6 %","3.4 %","27.1 %","24.1 %","127.5 %"
"","Maple Ridge","$ 730,300","362.8","-0.3 %","-2.7 %","-15.0 %","1.6 %","40.1 %","40.1 %","162.7 %"
"","New Westminster","$ 893,200","380.2","-2.7 %","-3.2 %","-7.0 %","9.7 %","38.2 %","33.6 %","134.4 %"
"","North Vancouver","$ 1,235,200","335.5","0.4 %","-4.1 %","-11.7 %","-0.4 %","35.8 %","29.4 %","123.2 %"
"","Pitt Meadows","$ 840,000","407.0","2.6 %","1.3 %","-9.0 %","11.1 %","46.2 %","51.2 %","170.6 %"
"","Port Coquitlam","$ 869,000","348.0","-2.6 %","-4.0 %","-14.7 %","2.4 %","37.7 %","34.8 %","143.4 %"
"","Port Moody","$ 1,000,700","379.9","-2.1 %","-8.7 %","-12.1 %","5.3 %","39.6 %","43.8 %","148.3 %"
"","Richmond","$ 1,047,200","375.6","-1.1 %","-1.1 %","-7.1 %","7.0 %","34.8 %","27.2 %","119.1 %"
"","Squamish","$ 957,200","345.1","-3.5 %","-7.3 %","-11.4 %","-3.0 %","35.8 %","40.1 %","175.4 %"
"","Sunshine Coast","$ 692,200","313.9","-3.7 %","-7.6 %","-10.6 %","-3.1 %","39.5 %","43.7 %","153.3 %"
"","Tsawwassen","$ 925,500","290.4","-2.8 %","-1.6 %","-10.0 %","4.1 %","14.5 %","3.9 %","83.7 %"
"","Vancouver East","$ 1,051,700","344.4","2.3 %","-5.1 %","-8.2 %","-1.4 %","22.2 %","16.2 %","98.7 %"
"","Vancouver West","$ 1,428,200","319.4","-3.3 %","-2.1 %","-6.7 %","-1.5 %","17.3 %","9.9 %","93.0 %"
"","Whistler","$ 1,356,700","345.8","-4.3 %","-8.8 %","-12.1 %","-1.9 %","40.7 %","51.2 %","195.8 %"
"Apartment","Lower Mainland","$ 671,300","332.7","-1.1 %","-3.0 %","-8.2 %","3.9 %","22.0 %","18.2 %","105.6 %"
"","Greater Vancouver","$ 720,500","329.1","-0.9 %","-2.7 %","-7.6 %","3.5 %","18.0 %","15.4 %","102.9 %"
"","Burnaby East","$ 778,300","326.9","0.9 %","-2.1 %","-7.2 %","5.8 %","22.0 %","17.5 %","95.5 %"
"","Burnaby North","$ 704,600","355.7","-1.0 %","-1.8 %","-6.1 %","6.0 %","27.1 %","27.5 %","122.3 %"
"","Burnaby South","$ 752,300","358.1","0.1 %","-3.1 %","-7.0 %","5.4 %","20.3 %","18.1 %","111.4 %"
"","Coquitlam","$ 658,200","373.3","-1.0 %","-1.7 %","-8.3 %","5.3 %","24.6 %","26.4 %","141.6 %"
"","Ladner","$ 694,400","353.2","-3.2 %","-2.8 %","-7.0 %","10.9 %","48.7 %","46.0 %","139.6 %"
"","Maple Ridge","$ 518,100","357.8","-1.4 %","-5.2 %","-9.8 %","7.5 %","40.6 %","45.1 %","167.4 %"
"","New Westminster","$ 628,600","376.9","-0.6 %","-3.4 %","-6.2 %","6.8 %","24.3 %","27.4 %","129.1 %"
"","North Vancouver","$ 767,600","306.5","-1.7 %","-2.0 %","-8.8 %","3.4 %","19.3 %","16.9 %","113.3 %"
"","Pitt Meadows","$ 583,200","393.3","-1.9 %","-5.5 %","-10.2 %","5.6 %","34.6 %","37.0 %","172.4 %"
"","Port Coquitlam","$ 606,600","412.4","-0.6 %","-1.1 %","-7.2 %","8.5 %","34.7 %","37.9 %","166.9 %"
"","Port Moody","$ 695,200","370.6","-0.5 %","-3.4 %","-8.2 %","3.3 %","23.8 %","28.1 %","143.3 %"
"","Richmond","$ 687,900","371.6","-1.7 %","-2.8 %","-6.9 %","4.3 %","20.9 %","22.0 %","116.7 %"
"","Squamish","$ 516,300","306.2","-3.1 %","-16.9 %","-20.2 %","-8.3 %","14.0 %","25.8 %","143.2 %"
"","Sunshine Coast","$ 487,100","279.1","-3.8 %","-18.9 %","-22.1 %","-11.6 %","3.6 %","8.9 %","89.0 %"
"","Tsawwassen","$ 718,200","335.3","-3.1 %","-3.2 %","-7.7 %","9.0 %","33.9 %","28.1 %","127.3 %"
"","Vancouver East","$ 682,700","391.0","0.6 %","-2.8 %","-5.9 %","2.1 %","16.6 %","12.9 %","109.9 %"
"","Vancouver West","$ 816,900","308.4","-1.3 %","-1.5 %","-7.7 %","1.0 %","8.3 %","4.4 %","89.7 %"
"","West Vancouver","$ 1,252,500","244.6","5.0 %","1.5 %","-1.1 %","9.2 %","17.4 %","10.7 %","85.4 %"
"","Whistler","$ 583,200","251.4","-3.4 %","-18.0 %","-21.1 %","-8.4 %","18.5 %","32.5 %","129.2 %"
