"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change % |","1 Year
Change %","3 Year
Change %","5 Year
| Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,140,900","346.7","-0.5 %","-0.3 %","5.7 %","3.7 %","30.8 %","28.1 %","92.6 %"
"","Greater Vancouver","$ 1,203,300","340.8","-0.4 %","0.0 %","5.0 %","4.4 %","26.0 %","22.6 %","81.8 %"
"","Bowen Island","$ 1,444,400","303.1","2.1 %","4.1 %","2.3 %","-0.7 %","33.6 %","45.7 %","143.5 %"
"","Burnaby East","$ 1,179,500","367.0","-1.3 %","-0.9 %","5.9 %","5.6 %","25.7 %","22.3 %","108.8 %"
"","Burnaby North","$ 1,014,400","337.8","-0.5 %","-1.3 %","2.9 %","2.1 %","22.2 %","19.5 %","96.3 %"
"","Burnaby South","$ 1,127,600","355.8","-0.9 %","0.4 %","5.5 %","6.1 %","25.2 %","21.4 %","100.5 %"
"","Coquitlam","$ 1,120,900","350.5","-1.2 %","-1.2 %","3.5 %","1.7 %","29.9 %","29.0 %","115.4 %"
"","Ladner","$ 1,178,700","342.3","0.0 %","1.3 %","10.8 %","7.2 %","42.5 %","38.7 %","119.8 %"
"","Maple Ridge","$ 999,600","346.0","-0.6 %","0.2 %","7.5 %","4.0 %","42.7 %","44.4 %","155.9 %"
"","New Westminster","$ 840,500","381.0","-0.8 %","0.0 %","4.8 %","4.9 %","30.2 %","28.8 %","119.7 %"
"","North Vancouver","$ 1,388,000","318.9","-0.5 %","-1.5 %","3.2 %","5.1 %","22.4 %","24.1 %","90.5 %"
"","Pitt Meadows","$ 925,500","369.8","-0.2 %","-0.2 %","9.3 %","4.4 %","41.1 %","44.7 %","159.1 %"
"","Port Coquitlam","$ 958,600","368.7","-1.3 %","-1.0 %","4.8 %","5.3 %","41.3 %","42.2 %","147.4 %"
"","Port Moody","$ 1,125,600","355.5","-0.3 %","0.6 %","2.4 %","-1.1 %","34.8 %","31.4 %","135.9 %"
"","Richmond","$ 1,184,700","389.1","-0.3 %","-0.1 %","2.8 %","5.2 %","31.5 %","23.5 %","95.4 %"
"","Squamish","$ 1,082,300","353.5","-1.9 %","-1.8 %","3.8 %","-0.6 %","30.2 %","39.7 %","152.9 %"
"","Sunshine Coast","$ 843,700","309.4","0.3 %","0.1 %","2.1 %","-3.2 %","34.9 %","45.1 %","149.7 %"
"","Tsawwassen","$ 1,247,800","324.2","2.6 %","0.1 %","9.8 %","3.6 %","29.7 %","24.9 %","109.6 %"
"","Vancouver East","$ 1,228,800","382.2","-0.8 %","1.0 %","8.3 %","7.6 %","25.3 %","24.6 %","99.8 %"
"","Vancouver West","$ 1,349,000","317.1","0.2 %","0.9 %","5.3 %","5.7 %","14.8 %","7.0 %","48.6 %"
"","West Vancouver","$ 2,653,800","286.1","-0.2 %","0.3 %","6.3 %","-1.5 %","14.4 %","8.2 %","48.7 %"
"","Whistler","$ 1,372,200","308.3","-1.9 %","-2.3 %","2.5 %","-1.7 %","31.4 %","47.7 %","167.9 %"
"Single Family Detached","Lower Mainland","$ 1,797,800","393.7","-0.2 %","0.9 %","8.6 %","5.5 %","35.4 %","37.7 %","110.6 %"
"","Greater Vancouver","$ 2,017,100","375.1","-0.1 %","1.3 %","7.9 %","5.8 %","30.2 %","29.1 %","90.6 %"
"","Bowen Island","$ 1,447,500","303.3","2.1 %","4.1 %","2.3 %","-0.6 %","33.6 %","45.6 %","143.6 %"
"","Burnaby East","$ 1,861,600","398.1","-3.2 %","-2.6 %","8.6 %","5.5 %","31.6 %","33.3 %","125.8 %"
"","Burnaby North","$ 2,048,900","391.8","0.1 %","0.5 %","6.4 %","5.0 %","32.5 %","30.2 %","116.5 %"
"","Burnaby South","$ 2,197,100","411.8","-2.3 %","-0.7 %","8.0 %","6.5 %","30.3 %","28.3 %","115.5 %"
"","Coquitlam","$ 1,789,300","414.3","-0.5 %","0.1 %","4.3 %","2.3 %","36.9 %","39.4 %","150.6 %"
"","Ladner","$ 1,441,400","348.8","-0.3 %","1.3 %","15.6 %","6.9 %","43.8 %","46.6 %","125.0 %"
"","Maple Ridge","$ 1,297,200","378.9","-1.0 %","1.0 %","9.0 %","5.3 %","43.9 %","51.5 %","177.0 %"
"","New Westminster","$ 1,538,600","380.9","-3.1 %","-2.1 %","7.0 %","3.4 %","32.8 %","36.0 %","122.2 %"
"","North Vancouver","$ 2,272,800","352.8","0.2 %","0.1 %","6.0 %","8.5 %","26.5 %","32.4 %","114.7 %"
"","Pitt Meadows","$ 1,331,600","400.5","1.1 %","0.9 %","12.3 %","8.4 %","44.1 %","55.3 %","170.6 %"
